"Date","Open","High","Low","Close","Volume","Value"
2010-01-04,34,34.4,33.9,34.3,8299290,283529760
2010-01-05,34.6,35.8,34.5,35.5,48059367,1693662333
2010-01-06,35.5,36.4,35.4,36.25,36026739,1298754915
2010-01-07,36.35,36.4,35.5,35.55,14531020,520883219
2010-01-08,35.55,35.8,35.15,35.4,10671139,377286796
2010-01-11,35.4,35.8,34.7,34.75,18206405,638075331
2010-01-12,34.75,35.25,34.3,34.55,15970864,553628885
2010-01-13,34,34.25,33.9,34,23801821,809471114
2010-01-14,34.5,34.5,34.1,34.2,8192369,280367979
2010-01-15,34.3,34.45,34.15,34.45,7254008,248945636
2010-01-18,34.2,34.4,34.1,34.2,5327992,182387445
2010-01-19,34.35,34.75,34.05,34.35,9450472,324909372
2010-01-20,34.45,34.5,34,34,6324748,215865832
2010-01-21,34,34.15,33.9,33.9,6215956,211476149
2010-01-22,33.55,33.65,31.55,31.8,52089477,1679653564
2010-01-25,31.5,32.05,30.95,32,21548104,678144524
2010-01-26,32,32.2,30,30.4,31714807,972850652
2010-01-27,30.7,30.7,29.9,30.05,20990196,633445982
2010-01-28,30.2,30.95,30.2,30.5,11390136,347522609
2010-01-29,30.1,30.1,29.2,29.85,22533171,669406085
2010-02-01,30.05,30.35,29.45,29.5,23299500,694210941
2010-02-02,30,30.2,29.3,29.55,13557228,404665537
2010-02-03,30.05,30.3,29.45,29.85,8396596,250047015
2010-02-04,29.85,30.05,29.6,29.95,3824236,114206799
2010-02-05,29.1,29.2,28.55,28.55,12712021,365804543
2010-02-06,28.6,28.7,27.65,28.45,5607301,158425166
2010-02-08,28.35,28.5,28.1,28.3,6550837,185336351
2010-02-09,28.15,29.2,28.15,28.8,8739774,252057913
2010-02-10,29.15,29.85,28.8,29.4,17477393,511947483
2010-02-22,29.75,30.25,29.75,29.8,11914110,356276891
2010-02-23,30,30.25,29.8,30.1,9170246,275484539
2010-02-24,30,30.55,29.85,30.4,9157957,276252635
2010-02-25,30.4,30.4,29.2,29.4,14123054,418800588
2010-02-26,29.25,29.75,29.25,29.6,7703498,227225932
2010-03-01,29.85,30.5,29.6,30.1,9812629,296587120
2010-03-02,30.55,30.55,30,30.25,8728721,263847498
2010-03-03,30.4,30.75,30.3,30.4,9634259,293653797
2010-03-04,30.8,31.1,29.85,30.05,13107318,399468890
2010-03-05,30.35,30.6,29.65,29.95,13334823,400520017
2010-03-08,30,30.2,29.7,29.75,14489768,431825704
2010-03-09,29.75,29.9,29.6,29.7,7269524,215883287
2010-03-10,29.7,29.75,29.5,29.7,10633596,315185687
2010-03-11,29.85,29.9,29.65,29.65,7834368,233049750
2010-03-12,29.65,29.7,29.35,29.45,7435707,219360648
2010-03-15,29.6,30.2,29.2,29.2,10648508,315450963
2010-03-16,29.65,29.65,29,29.2,6699579,195708693
2010-03-17,29.6,29.7,29.15,29.4,15761793,462603795
2010-03-18,29.6,29.65,29.35,29.45,21374410,630000346
2010-03-19,29.65,29.85,29.4,29.85,12061798,357047703
2010-03-22,30,30,29.25,29.3,10530542,309729461
2010-03-23,29.45,29.5,29.05,29.05,11517725,336280181
2010-03-24,29.5,29.8,29.35,29.45,13999109,413604520
2010-03-25,29.55,29.7,29.25,29.55,10903360,321012957
2010-03-26,29.5,29.65,29.2,29.45,14773274,435239188
2010-03-29,29.5,30,29.45,30,19959169,593376547
2010-03-30,30.2,30.2,29.8,30.05,13087035,392411471
2010-03-31,30.1,30.1,29.7,29.95,10006471,299211325
2010-04-01,30,30.15,29.9,29.95,27121106,813468072
2010-04-02,30.15,30.25,29.95,30.15,12010822,361666060
2010-04-06,30.2,30.25,30,30.05,11966045,360235820
2010-04-07,30.05,30.2,29.7,30,11783435,352379050
2010-04-08,30,30.15,29.5,29.6,17859799,532606424
2010-04-09,29.6,29.8,29.55,29.65,5577009,165715290
2010-04-12,30,30.15,29.7,29.8,15545089,464616181
2010-04-13,29.8,30,29.65,29.8,6642936,198065324
2010-04-14,29.9,30,29.65,29.85,7504602,223688866
2010-04-15,30.05,30.4,30,30.4,21394223,646547965
2010-04-16,30.5,30.55,30,30.05,17742463,536073440
2010-04-19,29.8,29.85,28.7,28.8,21500792,629517318
2010-04-20,29,29.1,28.55,28.6,18981693,546182995
2010-04-21,28.65,28.9,28.25,28.45,24253103,691303568
2010-04-22,28.35,28.35,28,28.1,20435458,574092235
2010-04-23,28.1,28.2,27.8,27.8,26596335,741490322
2010-04-26,28.2,28.85,28.2,28.8,18881125,540631558
2010-04-27,28.8,28.8,28.35,28.5,12111871,345418509
2010-04-28,27.9,28.35,27.9,28.2,15041500,423506092
2010-04-29,28.4,28.4,28,28.3,8999468,253965224
2010-04-30,28.55,28.65,28.2,28.3,10857648,308926918
