"Date","Open","High","Low","Close","Volume","Value"
2010-01-04,18.2,18.6,17.85,18.4,5756588,105074051
2010-01-05,18.4,18.9,18.15,18.3,5511581,101855016
2010-01-06,18.4,18.55,17.95,18,9804962,177984416
2010-01-07,18.1,18.3,17.7,17.7,4891869,88125069
2010-01-08,17.8,18,17.7,17.95,2642759,47221290
2010-01-11,17.95,18.65,17.95,18.4,8934259,164574472
2010-01-12,18.5,18.6,18.05,18.05,2920580,53092040
2010-01-13,18,18,17.65,17.65,3855286,68499578
2010-01-14,17.75,17.85,17.7,17.75,1861398,33061565
2010-01-15,17.8,17.9,17.7,17.8,2312064,41128629
2010-01-18,17.7,17.85,17.65,17.75,2114531,37556562
2010-01-19,17.75,18.25,17.7,17.75,5881658,105857237
2010-01-20,17.9,17.95,17.6,17.6,2196511,38928689
2010-01-21,17.75,17.75,17.2,17.2,2990018,52262106
2010-01-22,17.1,17.7,17.05,17.05,5555723,96143291
2010-01-25,16.9,16.95,16.6,16.7,2184204,36611639
2010-01-26,16.8,16.85,15.55,15.8,4502521,72922975
2010-01-27,15.8,15.95,15.5,15.6,2071258,32606577
2010-01-28,15.6,16.1,15.6,16,1178764,18722243
2010-01-29,15.8,15.85,15.5,15.8,1071419,16810513
2010-02-01,15.8,16.05,15.6,15.65,1221376,19266538
2010-02-02,15.85,15.9,15.3,15.35,1594183,24844956
2010-02-03,15.6,15.6,15.35,15.5,866370,13384882
2010-02-04,15.5,15.6,15.45,15.45,650890,10087696
2010-02-05,15.2,15.2,14.4,14.45,2075108,30460892
2010-02-06,14.3,14.45,13.6,14,1959817,27517278
2010-02-08,14,14.15,13.9,14.05,1587855,22241158
2010-02-09,14,14.65,13.95,14.55,1141022,16420070
2010-02-10,14.65,14.85,14.65,14.7,1077114,15906485
2010-02-22,15.1,15.1,14.85,15,961623,14401373
2010-02-23,14.95,15.1,14.85,15.1,858009,12843832
2010-02-24,15,15,14.9,15,546702,8177854
2010-02-25,15,15.05,14.65,14.7,869549,12890442
2010-02-26,14.75,14.85,14.6,14.6,619120,9097824
2010-03-01,14.65,15,14.6,14.95,1378282,20522160
2010-03-02,15,15.15,14.95,15.1,814949,12270785
2010-03-03,15.1,15.35,15,15.15,812675,12325652
2010-03-04,15.3,15.65,15.2,15.3,1911128,29462791
2010-03-05,15.4,15.55,15.25,15.25,818948,12586152
2010-03-08,15.3,15.45,15.25,15.35,1430598,21945012
2010-03-09,15.3,15.3,15.2,15.25,550479,8388624
2010-03-10,15.25,15.35,15.2,15.25,491047,7507310
2010-03-11,15.3,15.4,15.25,15.3,652970,9994038
2010-03-12,15.35,15.35,15.25,15.3,472664,7224021
2010-03-15,15.3,15.4,15.1,15.1,1032452,15769918
2010-03-16,15.1,15.25,15.05,15.25,493219,7462325
2010-03-17,15.3,15.45,15.25,15.35,959776,14700416
2010-03-18,15.35,15.65,15.35,15.55,1395812,21675589
2010-03-19,15.7,15.75,15.6,15.7,1056206,16526705
2010-03-22,15.7,15.7,15.5,15.6,579935,9024338
2010-03-23,15.6,15.65,15.5,15.55,572977,8930934
2010-03-24,15.7,15.85,15.55,15.6,1434634,22561273
2010-03-25,15.7,15.7,15.45,15.55,1096808,17060625
2010-03-26,15.55,15.75,15.45,15.6,711489,11081648
2010-03-29,15.6,15.9,15.6,15.85,1473463,23215885
2010-03-30,15.9,15.9,15.6,15.7,998162,15694722
2010-03-31,15.7,15.8,15.6,15.65,1041798,16326853
2010-04-01,15.7,15.9,15.7,15.85,1535217,24247464
2010-04-02,15.9,15.95,15.8,15.9,1053693,16744840
2010-04-06,15.95,16.15,15.85,16,1533204,24496084
2010-04-07,16,16.15,15.9,16.05,1298520,20816870
2010-04-08,16,16.15,15.9,16,954238,15278008
2010-04-09,16.1,16.15,15.95,16.1,929829,14939764
2010-04-12,16.1,16.2,16.05,16.1,1186730,19133880
2010-04-13,16.1,16.2,15.75,15.8,1314271,20979916
2010-04-14,15.8,16.05,15.8,16,660730,10545197
2010-04-15,16.1,16.25,16.1,16.25,1416446,22942943
2010-04-16,16.3,16.35,16,16.1,1350620,21763820
2010-04-19,15.85,15.9,15.25,15.3,1149302,17914586
2010-04-20,15.3,15.4,15.15,15.2,2035859,31036951
2010-04-21,15.25,15.5,15.25,15.4,911982,14021769
2010-04-22,15.4,15.4,15.2,15.25,740656,11306414
2010-04-23,15.3,15.3,15.05,15.1,1157676,17566701
2010-04-26,15.25,15.5,15.25,15.45,1048655,16146094
2010-04-27,15.45,15.45,15.3,15.35,557792,8555072
2010-04-28,15.15,15.25,15.05,15.15,616646,9346001
2010-04-29,15.25,15.3,15.1,15.2,815734,12373079
2010-04-30,15.2,15.35,15.1,15.15,1056457,16083074
