"Date","Open","High","Low","Close","Volume","Value"
2010-01-04,34.6,34.65,34,34.55,6528735,224652357
2010-01-05,34.7,35.8,34.6,35.3,16662766,586893853
2010-01-06,35.4,36.1,35.15,35.55,15819247,564201759
2010-01-07,35.6,35.8,35.1,35.15,7556963,266959455
2010-01-08,35.1,35.4,35.05,35.35,4961630,174987411
2010-01-11,35.4,35.75,35.05,35.1,6398164,225967490
2010-01-12,35.55,35.55,34.9,35.35,8734415,307588732
2010-01-13,35.1,35.15,34.9,34.95,7047243,246508388
2010-01-14,35.4,35.4,34.9,35,2217242,77741306
2010-01-15,35.05,35.1,34.85,34.95,3517642,123051088
2010-01-18,34.6,34.85,34.45,34.45,4176752,144522492
2010-01-19,34.5,34.8,34.2,34.45,5687743,196052067
2010-01-20,34.4,34.45,34,34,5667584,193457906
2010-01-21,33.95,34.1,33.7,33.75,7100021,240559293
2010-01-22,33.5,33.5,32.3,32.75,12991969,427506321
2010-01-25,32.3,32.45,32,32.35,7078367,228293027
2010-01-26,32.9,32.9,31,31.1,11665772,370801384
2010-01-27,31.1,31.2,30.45,30.55,8967859,276970779
2010-01-28,30.6,31,30.55,30.9,9026906,278261486
2010-01-29,30.6,30.6,29.85,30.3,12268555,370177155
2010-02-01,31,31,30.15,30.2,5964285,181261455
2010-02-02,30.8,30.8,29.55,30,7600280,228718418
2010-02-03,30.1,30.4,29.95,30.4,5261416,158805084
2010-02-04,30.4,30.4,29.85,30.4,4449830,133912270
2010-02-05,29,29.05,28.3,28.3,10710693,304471328
2010-02-06,27.35,28.4,27.35,28.35,8027798,224540899
2010-02-08,28.5,28.55,28.05,28.5,6809919,192723921
2010-02-09,28.45,29.6,28.2,29.45,4995004,145122349
2010-02-10,30,30.05,29.45,30.05,5218120,155587838
2010-02-22,30.6,30.75,29.85,29.95,5012014,151865020
2010-02-23,29.95,30.1,29.8,30.05,2819797,84351435
2010-02-24,29.9,30.15,29.6,30.1,2907556,87240925
2010-02-25,30,30.1,29.3,29.45,6162528,182546985
2010-02-26,29.45,29.65,29.3,29.4,2791104,82248996
2010-03-01,29.7,30.25,29.4,30.2,3441157,103363704
2010-03-02,30.2,30.3,30.05,30.25,3537580,106772382
2010-03-03,30.5,30.5,30.05,30.25,3323028,100431282
2010-03-04,30.5,30.65,29.75,30,4330434,130766426
2010-03-05,30.15,30.45,29.85,30,4666434,140172920
2010-03-08,30.4,30.4,29.85,30,4417462,132447660
2010-03-09,30.15,30.25,29.95,30.15,3451990,103833259
2010-03-10,30.35,30.35,30,30.15,2496212,75134404
2010-03-11,30.15,30.2,30.05,30.1,3030825,91258239
2010-03-12,30,30,29.75,29.9,4237269,126619330
2010-03-15,29.8,30.1,29.5,29.55,7735763,229768447
2010-03-16,29.5,29.6,29.4,29.5,3013209,88796208
2010-03-17,29.8,30.15,29.5,30.15,5755137,171775960
2010-03-18,30.2,30.25,30,30.15,5841454,176131816
2010-03-19,30.05,30.1,29.9,30.1,5210949,156392220
2010-03-22,30.05,30.1,29.65,29.85,4324920,129095953
2010-03-23,30,30.1,29.8,29.95,6460838,193394491
2010-03-24,30.2,30.65,30.1,30.2,7715050,233665348
2010-03-25,30.3,30.45,30.05,30.2,5786065,174919146
2010-03-26,30.4,30.6,30,30.45,6956463,210976276
2010-03-29,30.75,31.5,30.55,31.4,8956958,277265055
2010-03-30,31.5,31.5,31,31.25,6769053,211079329
2010-03-31,31.2,31.2,30.7,31,6061352,187698691
2010-04-01,31.2,31.45,30.9,31.45,6909121,215510010
2010-04-02,31.5,31.65,31.35,31.35,4188128,131671634
2010-04-06,31.5,31.7,31.3,31.4,6035837,189791379
2010-04-07,31.8,31.8,31.3,31.55,9425954,296334684
2010-04-08,31.55,31.8,31.35,31.45,6336146,199686622
2010-04-09,31.5,31.5,31.4,31.45,7243589,227787371
2010-04-12,31.5,31.6,31.35,31.6,8650214,272350477
2010-04-13,31.6,31.6,31.35,31.55,4537479,143111174
2010-04-14,31.55,31.7,31.45,31.65,4118042,129910109
2010-04-15,31.8,32.5,31.8,32.5,8493974,274182372
2010-04-16,32.5,32.55,32.05,32.4,3379475,109247329
2010-04-19,31.8,32,30.95,31,7201505,226035905
2010-04-20,31.1,31.1,30.75,31.05,4289663,132776053
2010-04-21,31.2,31.5,31.15,31.4,2841169,89099908
2010-04-22,31.2,31.2,30.55,30.95,5410691,166492721
2010-04-23,30.8,30.8,30.5,30.6,4586657,140379889
2010-04-26,30.9,30.95,30.05,30.2,22432636,683819822
2010-04-27,30.2,30.4,29.4,29.5,28243367,839193878
2010-04-28,29,29.8,29,29.75,9319819,274256624
2010-04-29,29.9,29.9,29.55,29.7,5347226,158675569
2010-04-30,29.75,30.05,29.6,29.6,5841772,174479832
