"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"1101","台泥","         17910011","         16748894","          1161117","                  0","                921","            883227","            278811","          6581731","            224493","          6636049","             15000","          6621049","                  0","                  0","                  0","                  0","          6621049","                  1.79"
"1102","亞泥","          7977702","          7613961","            363741","                  0","                867","            523274","           -158666","          9418021","            944591","          8314764","             71282","          8243482","                  0","                  0","                  0","                  0","          8243482","                  2.63"
"1103","嘉泥","            667816","            649242","             18574","                  0","                  0","            130555","           -111981","            677373","            390673","            174719","             45745","            128974","                  0","                  0","                  0","                  0","            128974","                  0.21"
"1104","環球水泥","          2474246","          2279982","            194264","                  0","                  0","            212380","            -18116","            488384","            173719","            296549","             40908","            255641","                  0","                  0","                  0","                  0","            255641","                  0.42"
"1108","幸福水泥","          2403260","          2322809","             80451","                  0","                  0","            157301","            -76850","             30507","            138421","           -184764","            -28053","           -156711","                  0","                  0","                  0","                  0","           -156711","                 -0.39"
"1109","信大水泥","          1108329","          1030656","             77673","                166","                102","             79313","             -1704","             44011","             41700","                607","              2388","             -1781","                  0","                  0","                  0","                  0","             -1781","                 -0.01"
"1110","東泥","          1023973","            961353","             62620","                  0","                  0","             40243","             22377","             64337","             17080","             69634","              3591","             66043","                  0","                  0","                  0","                  0","             66043","                  0.12"
"1201","味全公司","         10404128","          6865036","          3539092","                  0","                  0","          2915288","            623804","            136282","            106905","            653181","             96404","            556777","                  0","                  0","                  0","                  0","            556777","                  1.10"
"1203","味王公司","          1500268","          1101845","            398423","                  0","                  0","            334872","             63551","             67683","             13974","            117260","             17690","             99570","                  0","                  0","                  0","                  0","             99570","                  0.42"
