"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"8046","南電","         35809432","         32524638","          3284794","              1149","              1928","          1568079","          1717494","          1010982","            427602","          2300874","            241982","          2058892","                  0","                  0","                  0","                  0","          2058892","                  3.30"
"8070","長華電材","         12109275","         11274243","            835032","                  0","              2214","            252978","            584268","            483761","             85263","            982766","            127462","            855304","                  0","                  0","                  0","                  0","            855304","                 14.00"
"8072","陞泰","          2976203","          1865117","          1111086","                  0","                  0","            308286","            802800","            114177","             29325","            887652","            155073","            732579","                  0","                  0","                  0","                  0","            732579","                  7.33"
"8081","致新","          5013369","          3273764","          1739605","                  0","                  0","            714189","          1025416","             34984","            161644","            898756","             86363","            812393","                  0","                  0","                  0","                  0","            812393","                  9.50"
"8101","華冠通訊","         18103016","         17119466","            983550","              1023","                  0","            810625","            171902","            132773","            203187","            101488","                  0","            101488","                  0","                  0","                  0","                  0","            101488","                  0.28"
"8103","瀚荃","          1395575","          1021932","            373643","                  0","                  0","            225920","            147723","            235276","             39577","            343422","             22606","            320816","                  0","                  0","                  0","                  0","            320816","                  4.92"
"8105","凌巨","         12923702","         12670570","            253132","                  0","             12848","            586067","           -320087","            175330","            131457","           -276214","             60877","           -337091","                  0","                  0","                  0","                  0","           -337091","                 -0.79"
"8110","華東","          7675465","          6288233","          1387232","                  0","                  0","            329022","          1058210","            155284","            118885","          1094609","            139280","            955329","                  0","                  0","                  0","                  0","            955329","                  1.91"
"8112","至上電子","         32876506","         32166904","            709602","                  0","                  0","            373326","            336276","            219934","             95822","            460388","             78781","            381607","                  0","                  0","                  0","                  0","            381607","                  2.01"
"8114","振樺電子","          1936773","          1167214","            769559","             15876","                  0","            237692","            515991","              5832","            127578","            394245","             78332","            315913","                  0","                  0","                  0","                  0","            315913","                  5.42"
"8131","福懋科技","         11819772","          9967777","          1851995","                  0","                  0","            108664","          1743331","             53621","            110831","          1686121","            158099","          1528022","                  0","                  0","                  0","                  0","          1528022","                  3.46"
"8150","南茂科技","         14594517","         14329260","            265257","                  0","                  0","            856331","           -591074","          3764524","            891490","          2281960","           -122223","          2404183","                  0","                  0","                  0","                  0","          2404183","                  2.85"
"8163","達方電子","         12871545","         10984574","          1886971","                  0","              2611","          1427738","            461844","            246965","             74203","            634606","             31649","            602957","                  0","                  0","                  0","                  0","            602957","                  1.81"
"8201","無敵","          2482523","          1884545","            597978","             15285","              7351","            538715","             51329","             68861","             82474","             37716","             18289","             19427","                  0","                  0","                  0","                  0","             19427","                  0.23"
"8210","勤誠興業","          2258554","          1861036","            397518","                  0","                  0","            228185","            169333","            325704","             41732","            453305","             28531","            424774","                  0","                  0","                  0","                  0","            424774","                  3.83"
"8213","志超","         14379117","         12991523","          1387594","                  0","                  0","            644970","            742624","            477940","            257268","            963296","            147534","            815762","                  0","                  0","                  0","                  0","            815762","                  3.71"
"8215","明基材料","         17632084","         16625060","          1007024","                  0","                  0","            848756","            158268","            240312","            257995","            140585","               -319","            140904","                  0","                  0","                  0","                  0","            140904","                  0.49"
"8222","寶一科技","            649031","            523991","            125040","                  0","                  0","             76601","             48439","              8352","             42145","             14646","              2380","             12266","                  0","                  0","                  0","                  0","             12266","                  0.22"
"8249","菱光科技","          5874971","          5552120","            322851","                  0","                  0","            256120","             66731","            244689","             33746","            277674","             20426","            257248","                  0","                  0","                  0","                  0","            257248","                  2.03"
"8261","富鼎","          3607455","          3079295","            528160","                  0","                  0","            279495","            248665","              4204","             90673","            162196","             21150","            141046","                  0","                  0","                  0","                  0","            141046","                  0.98"
"8271","宇瞻科技","         12604781","         11783385","            821396","                  0","              2876","            466191","            358081","            108683","             77412","            389352","             61959","            327393","                  0","                  0","                  0","                  0","            327393","                  2.92"
"8341","日友","            287322","            139192","            148130","                  0","                  0","             72754","             75376","             78004","             88122","             65258","              8041","             57217","                  0","                  0","                  0","                  0","             57217","                  0.76"
"8367","建新國際","            713639","            537731","            175908","                  0","                  0","            117479","             58429","             55646","             20330","             93745","             14665","             79080","                  0","                  0","                  0","                  0","             79080","                  1.54"
"8374","羅昇","          1512683","          1194367","            318316","                  0","                  0","            164011","            154305","            206040","              5289","            355056","             44418","            310638","                  0","                  0","                  0","                  0","            310638","                  4.91"
