"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"1101","台泥","          5567641","          4967492","            600149","                  0","                307","            245916","            354540","          1257153","             62193","          1549500","             81461","          1468039","                  0","                  0","                  0","                  0","          1468039","                  0.40"
"1102","亞泥","          2772752","          2554475","            218277","             10806","                  0","            134821","             72650","          2066062","            472065","          1666647","              5994","          1660653","                  0","                  0","                  0","                  0","          1660653","                  0.53"
"1103","嘉泥","            273764","            267027","              6737","                  0","                  0","             47797","            -41060","            280423","             35285","            204078","              4042","            200036","                  0","                  0","                  0","                  0","            200036","                  0.32"
"1104","環球水泥","            843587","            770240","             73347","                  0","                  0","             68367","              4980","            148659","              7684","            145955","              1502","            144453","                  0","                  0","                  0","                  0","            144453","                  0.24"
"1108","幸福水泥","            768318","            711788","             56530","                  0","                  0","             55859","                671","            153049","             20010","            133710","             13159","            120551","                  0","                  0","                  0","                  0","            120551","                  0.30"
"1109","信大水泥","            390832","            344352","             46480","                131","                145","             29098","             17396","             11387","              8867","             19916","              4178","             15738","                  0","                  0","                  0","                  0","             15738","                  0.04"
"1110","東泥","            381823","            346100","             35723","                  0","                  0","             12160","             23563","             81958","                810","            104711","             15313","             89398","                  0","                  0","                  0","                  0","             89398","                  0.16"
"1201","味全公司","          3382155","          2100344","          1281811","                  0","                  0","          1001917","            279894","             56213","             38993","            297114","             51180","            245934","                  0","                  0","                  0","                  0","            245934","                  0.49"
"1203","味王公司","            485297","            342383","            142914","                  0","                  0","            108202","             34712","              5302","             49162","             -9148","              7152","            -16300","                  0","                  0","                  0","                  0","            -16300","                 -0.07"
"1210","大成長城","          5727546","          5313504","            414042","                  0","                  0","            291725","            122317","            265203","            129551","            257969","             17892","            240077","                  0","                  0","                  0","                  0","            240077","                  0.49"
"1213","大飲","            170239","            149497","             20742","                 78","                103","             12037","              8730","              1121","              1697","              8154","                541","              7613","                  0","                  0","                  0","                  0","              7613","                  0.15"
"1215","卜蜂企業","          3707581","          3508430","            199151","                  0","                  0","            204686","             -5535","             28338","             13243","              9560","              1018","              8542","                  0","                  0","                  0","                  0","              8542","                  0.04"
"1216","統一","         11212653","          8166407","          3046246","                  0","                  0","          2616299","            429947","          2968652","            298292","          3100307","             69464","          3030843","                  0","                  0","                  0","                  0","          3030843","                  0.67"
"1217","愛之味","            677891","            433836","            244055","             10070","             12280","            240479","              5786","             34910","             36630","              4066","              2060","              2006","                  0","                  0","                  0","                  0","              2006","                  0.00"
"1218","泰山企業","          1733500","          1640457","             93043","             11783","             15714","            140629","            -43655","             13186","             42022","            -72491","                457","            -72948","                  0","                  0","                  0","                  0","            -72948","                 -0.22"
