"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"1101","台泥","          5834409","          5418637","            415772","                  0","                307","            313261","            102818","          1414046","            141807","          1375057","             55000","          1320057","                  0","                  0","                  0","                  0","          1320057","                  0.36"
"1102","亞泥","          2431250","          2255991","            175259","                  0","                  0","            144038","             31221","          2431569","            184381","          2278409","             51164","          2227245","                  0","                  0","                  0","                  0","          2227245","                  0.72"
"1103","嘉泥","            430353","            417299","             13054","                  0","                  0","             55154","            -42100","            515154","            108627","            364427","             30158","            334269","                  0","                  0","                  0","                  0","            334269","                  0.55"
"1104","環球水泥","            839539","            776793","             62746","                  0","                  0","             69604","             -6858","            137389","             10098","            120433","             -1687","            122120","                  0","                  0","                  0","                  0","            122120","                  0.20"
"1108","幸福水泥","            738237","            734354","              3883","                  0","                  0","             53356","            -49473","              7406","             49276","            -91343","            -14761","            -76582","                  0","                  0","                  0","                  0","            -76582","                 -0.19"
"1109","信大水泥","            313034","            323573","            -10539","                 16","                101","             25479","            -35933","             12995","             17678","            -40616","             -6078","            -34538","                  0","                  0","                  0","                  0","            -34538","                 -0.08"
"1110","東泥","            352847","            323375","             29472","                  0","                  0","             14530","             14942","             13230","              2280","             25892","              2651","             23241","                  0","                  0","                  0","                  0","             23241","                  0.04"
"1201","味全公司","          3101970","          1952775","          1149195","                  0","                  0","            907648","            241547","             38555","             51811","            228291","              8292","            219999","                  0","                  0","                  0","                  0","            219999","                  0.43"
"1203","味王公司","            521068","            384829","            136239","                  0","                  0","            117546","             18693","             26454","              3128","             42019","             11773","             30246","                  0","                  0","                  0","                  0","             30246","                  0.13"
"1210","大成長城","          5719614","          5259360","            460254","                  0","                  0","            282709","            177545","            270214","             43401","            404358","             43868","            360490","                  0","                  0","                  0","                  0","            360490","                  0.79"
"1213","大飲","            151731","            136592","             15139","                167","                513","             17934","             -2449","              1182","              1241","             -2508","              1193","             -3701","                  0","                  0","                  0","                  0","             -3701","                 -0.07"
"1215","卜蜂企業","          3554377","          3317193","            237184","                  0","                  0","            204853","             32331","             23532","             11963","             43900","              8612","             35288","                  0","                  0","                  0","                  0","             35288","                  0.15"
"1216","統一","         12311216","          9533317","          2777899","                  0","                  0","          2317229","            460670","          2179017","            282678","          2357009","             82881","          2274128","                  0","                  0","                  0","                  0","          2274128","                  0.53"
"1217","愛之味","            755140","            480689","            274451","             10443","             13790","            272255","              5543","             71030","             43131","             33442","                810","             32632","                  0","                  0","                  0","                  0","             32632","                  0.07"
"1218","泰山企業","          1775463","          1694315","             81148","             10534","             13123","            149296","            -65559","            104059","             18520","             19980","              6596","             13384","                  0","                  0","                  0","                  0","             13384","                  0.04"
"1219","福壽實業","          2295243","          2147859","            147384","                  0","                543","            126950","             20977","              8573","             11262","             18288","              4395","             13893","                  0","                  0","                  0","                  0","             13893","                  0.05"
"1220","台榮","            682237","            604573","             77664","                  0","                  0","             35636","             42028","              6826","              1501","             47353","              2003","             45350","                  0","                  0","                  0","                  0","             45350","                  0.26"
"1225","福懋油","          2259337","          2149191","            110146","               -176","                  0","             66234","             44088","             12805","              7963","             48930","              6895","             42035","                  0","                  0","                  0","                  0","             42035","                  0.24"
"1227","佳格","          3297159","          1862878","          1434281","                  0","                  0","            570866","            863415","            170769","              4198","          1029986","            164889","            865097","                  0","                  0","                  0","                  0","            865097","                  2.35"
"1229","聯華實業","            954559","            851769","            102790","                  0","                  0","             52914","             49876","            220619","             14993","            255502","              6140","            249362","                  0","                  0","                  0","                  0","            249362","                  0.30"
"1231","聯華食品","          1339595","            913262","            426333","                  0","                  0","            304371","            121962","             20010","             16556","            125416","             22136","            103280","                  0","                  0","                  0","                  0","            103280","                  0.89"
"1232","大統益","          4086577","          3849917","            236660","                  0","                  0","             75787","            160873","             41473","                770","            201576","             33355","            168221","                  0","                  0","                  0","                  0","            168221","                  1.05"
"1233","天仁","            529452","            210779","            318673","                  0","                  0","            222994","             95679","              3716","                946","             98449","             17978","             80471","                  0","                  0","                  0","                  0","             80471","                  0.89"
"1234","黑松","          1415632","          1138275","            277357","             18716","             14728","            251212","             22157","             50331","              1217","             71271","              7100","             64171","                  0","                  0","                  0","                  0","             64171","                  0.12"
"1235","興泰","             84386","             75563","              8823","                  0","                  0","              9180","               -357","              3625","              2759","                509","                449","                 60","                  0","                  0","                  0","                  0","                 60","                  0.00"
"1236","宏亞食品","            673559","            489548","            184011","                  0","                -12","            124008","             59991","              3074","              3902","             59163","             17180","             41983","                  0","                  0","                  0","                  0","             41983","                  0.46"
"1301","台塑","         52131730","         41761084","         10370646","             61914","                  0","          2188455","          8120277","          9012985","            250539","         16882723","          1760295","         15122428","                  0","                  0","                  0","                  0","         15122428","                  2.47"
"1303","南亞塑膠","         58588806","         45594545","         12994261","              9104","                  0","          3245558","          9739599","          6185076","            432213","         15492462","          2112246","         13380216","                  0","                  0","                  0","                  0","         13380216","                  1.70"
"1304","台聚","          3492965","          2535428","            957537","             -2658","                  0","            143240","            816955","            450172","             20223","          1246904","            192583","          1054321","                  0","                  0","                  0","                  0","          1054321","                  1.30"
"1305","華夏","          2394761","          2204410","            190351","                  0","                 24","            138375","             52000","             22361","             26391","             47970","             12001","             35969","                  0","                  0","                  0","                  0","             35969","                  0.08"
"1307","三芳化工","          1724896","          1388228","            336668","                716","                  0","            200431","            135521","            119222","              5347","            249396","             41594","            207802","                  0","                  0","                  0","                  0","            207802","                  0.67"
