"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"1101","台泥","          5517415","          5159891","            357524","                  0","                307","            270095","             87736","          1019529","            105603","          1001662","             76707","            924955","                  0","                  0","                  0","                  0","            924955","                  0.28"
"1102","亞泥","          2339250","          2188088","            151162","             -7457","                  0","            128775","             29844","          1853164","            200567","          1682441","             68136","          1614305","                  0","                  0","                  0","                  0","          1614305","                  0.54"
"1103","嘉泥","            464494","            434952","             29542","                  0","                  0","             48464","            -18922","             35753","             74200","            -57369","             35633","            -93002","                  0","                  0","                  0","                  0","            -93002","                 -0.16"
"1104","環球水泥","            729601","            678179","             51422","                  0","                  0","            125587","            -74165","             10623","             47288","           -110830","                485","           -111315","                  0","                  0","                  0","                  0","           -111315","                 -0.18"
"1108","幸福水泥","            663348","            627894","             35454","                  0","                  0","             57865","            -22411","              9411","             32625","            -45625","            -12254","            -33371","                  0","                  0","                  0","                  0","            -33371","                 -0.08"
"1109","信大水泥","            304809","            273392","             31417","                176","                312","             27865","              3688","             36377","             32215","              7850","             -1384","              9234","                  0","                  0","                  0","                  0","              9234","                  0.02"
"1110","東泥","            341970","            306231","             35739","                  0","                  0","             15786","             19953","              3990","              1453","             22490","              4007","             18483","                  0","                  0","                  0","                  0","             18483","                  0.03"
"1201","味全公司","          2922260","          1833588","          1088672","                  0","                  0","            849172","            239500","             52518","            101424","            190594","                197","            190397","                  0","                  0","                  0","                  0","            190397","                  0.38"
"1203","味王公司","            476455","            337868","            138587","                  0","                  0","            109733","             28854","             34142","              3655","             59341","             16999","             42342","                  0","                  0","                  0","                  0","             42342","                  0.19"
"1210","大成長城","          5222159","          4764349","            457810","                  0","                  0","            292979","            164831","            141055","             26343","            279543","             38844","            240699","                  0","                  0","                  0","                  0","            240699","                  0.55"
"1213","大飲","            167646","            144420","             23226","                567","                300","             15848","              7111","                974","              1317","              6768","              2661","              4107","                  0","                  0","                  0","                  0","              4107","                  0.08"
"1215","卜蜂企業","          3290206","          2983183","            307023","                  0","                  0","            198287","            108736","             11366","             10534","            109568","             21902","             87666","                  0","                  0","                  0","                  0","             87666","                  0.38"
"1216","統一","         10791722","          8237302","          2554420","                  0","                  0","          2263738","            290682","          3227620","            257313","          3260989","            170122","          3090867","                  0","                  0","                  0","                  0","          3090867","                  0.79"
"1217","愛之味","            964838","            592321","            372517","             20030","             20411","            352306","             20592","             41121","             28011","             33702","              9954","             23748","                  0","                  0","                  0","                  0","             23748","                  0.05"
"1218","泰山企業","          1640959","          1500394","            140565","             10574","             12589","            125974","             16606","             67189","             24141","             59654","                 93","             59561","                  0","                  0","                  0","                  0","             59561","                  0.19"
"1219","福壽實業","          2095268","          1932826","            162442","                  0","                983","            128025","             35400","             12810","              5669","             42541","             11996","             30545","                  0","                  0","                  0","                  0","             30545","                  0.11"
"1220","台榮","            509804","            479328","             30476","                  0","                  0","             25467","              5009","              5665","              6979","              3695","               -421","              4116","                  0","                  0","                  0","                  0","              4116","                  0.02"
"1225","福懋油","          1975040","          1865664","            109376","                130","                  0","             64781","             44465","              9628","              8920","             45173","              6936","             38237","                  0","                  0","                  0","                  0","             38237","                  0.24"
"1227","佳格","          2896165","          1620911","          1275254","                  0","                  0","            557864","            717390","             77417","             18149","            776658","            149081","            627577","                  0","                  0","                  0","                  0","            627577","                  1.96"
"1229","聯華實業","            781409","            644957","            136452","                  0","                  0","             63478","             72974","            163764","             19894","            216844","             16655","            200189","                  0","                  0","                  0","                  0","            200189","                  0.25"
"1231","聯華食品","          1137677","            805779","            331898","                  0","                  0","            245649","             86249","             13792","              8093","             91948","             17924","             74024","                  0","                  0","                  0","                  0","             74024","                  0.64"
"1232","大統益","          3583239","          3342436","            240803","                  0","                  0","             77462","            163341","             27868","              6450","            184759","             30525","            154234","                  0","                  0","                  0","                  0","            154234","                  0.96"
"1233","天仁","            490110","            196783","            293327","                  0","                  0","            218320","             75007","             30672","              3697","            101982","             15194","             86788","                  0","                  0","                  0","                  0","             86788","                  0.96"
"1234","黑松","            973865","            692604","            281261","             17376","             15634","            253209","             26310","             48208","              1344","             73174","             10200","             62974","                  0","                  0","                  0","                  0","             62974","                  0.12"
