"V1","V2"
"1101","2171125"
"1102","1051182"
"1103","203489"
"1104","321858"
"1108","255518"
"1109","134944"
"1110","148986"
"1201","1075289"
"1203","183896"
"1210","1956012"
"1213","51216"
"1215","1250767"
"1216","4043026"
"1217","179663"
"1218","610473"
"1219","788906"
"1220","300155"
"1225","823067"
"1227","1097835"
"1229","366187"
"1231","496565"
"1232","1521279"
"1233","157899"
"1234","401330"
"1235","30560"
"1236","241737"
"1702","220308"
"1301","16516832"
"1303","17943630"
"1304","1283688"
"1305","667922"
"1307","592394"
"1308","585595"
"1309","956575"
"1310","1029457"
"1312","1210705"
"1313","586977"
"1314","3249691"
"1315","222808"
"1316","20005"
"1319","1079235"
"1321","398299"
"1323","152612"
"1324","134075"
"1325","116127"
"1326","26437491"
"1715","345427"
"4306","506948"
"1402","4947055"
"1409","2079835"
"1410","30181"
"1413","387729"
"1414","118384"
"1416","25923"
"1417","124428"
"1418","244568"
"1419","90919"
"1423","116616"
"1432","381416"
"1434","3057604"
"1438","0"
"1439","31666"
"1440","1713980"
"1441","142756"
"1443","175200"
"1444","1087672"
"1445","204697"
"1446","58766"
"1447","2061361"
"1449","199102"
"1451","944093"
"1452","221212"
"1453","41373"
"1454","237097"
"1455","1620036"
"1456","196482"
"1457","369908"
"1459","353641"
"1460","463757"
"1463","47742"
"1464","171465"
"1465","130754"
"1466","605824"
"1467","353874"
"1468","65955"
"1469","52147"
"1470","83248"
"1472","117611"
"1473","653873"
"1474","382398"
"1475","59521"
"1476","773855"
"1477","688628"
"4414","231233"
"4426","64613"
"1503","1512011"
"1504","2048406"
"1506","85188"
"1507","346687"
"1512","304908"
"1513","632697"
"1514","513268"
"1515","253879"
"1516","47"
"1517","238023"
"1519","601934"
"1521","361587"
"1522","777686"
"1524","304532"
"1525","106281"
"1526","56478"
"1527","218473"
"1528","233330"
"1529","53670"
"1530","298176"
"1531","246128"
"1533","103147"
"1535","904758"
"1536","216286"
"1537","344687"
"1538","81589"
"1539","102047"
"1540","165086"
"1541","103683"
"1560","287125"
"1583","185411"
"2049","961066"
"2231","76555"
"4526","530716"
"4532","408308"
"6605","910369"
"8374","112593"
"1603","458102"
"1604","779404"
"1605","5717427"
"1608","811970"
"1609","923118"
"1611","535616"
"1612","402161"
"1613","565459"
"1614","514766"
"1615","253928"
"1616","308554"
"1617","444497"
"1618","235398"
"4930","50053"
"1704","2594407"
"1708","246575"
"1709","635375"
"1710","791336"
"1711","491261"
"1712","582086"
"1713","52897"
"1714","764695"
"1717","1539532"
"1718","1718264"
"1721","169163"
"1722","1413380"
"1723","854907"
"1724","160802"
"1725","721042"
"1726","628044"
"1727","169017"
"1730","102865"
"1732","61021"
"1735","191530"
"1737","207922"
"1773","571717"
"4722","223469"
"4725","1942568"
"4733","140993"
"1701","201919"
"1707","213505"
"1720","164774"
"1729","131592"
"1731","144986"
"1733","117408"
"1734","137907"
"1736","523444"
"1762","96072"
"1789","502912"
"3164","34044"
"4104","297879"
"4106","125177"
"4108","25312"
"4119","100292"
"4133","32437"
"4142","0"
"4737","105592"
"4746","242070"
"1802","1364105"
"1806","242310"
"1809","134441"
"1810","295507"
"1902","472462"
"1903","213937"
"1904","2029730"
"1905","527959"
"1906","13824"
"1907","1584290"
"1909","601478"
"1532","601362"
"2002","19644434"
"2006","3194461"
"2007","1073360"
"2008","668590"
"2009","460271"
"2010","1333901"
"2012","346990"
"2013","1292545"
"2014","3625536"
"2015","3388088"
"2017","468063"
"2020","566471"
"2022","181981"
"2023","2734867"
"2024","145141"
"2025","283317"
"2027","1108598"
"2028","841328"
"2029","1594486"
"2030","1220587"
"2031","869144"
"2032","535989"
"2033","87448"
"2034","2065982"
"2038","1301820"
"3004","137289"
"5007","442319"
"9958","154173"
"2101","502068"
"2102","608768"
"2103","1647057"
"2104","439817"
"2105","2175023"
"2106","501172"
"2107","562364"
"2108","488955"
"2109","242835"
"2114","155968"
"2201","2328397"
"2204","2841265"
"2206","1304733"
"2207","4013200"
"2227","1890802"
"1437","118444"
"2302","31768"
"2303","10178453"
"2311","5746644"
"2325","4821917"
"2329","1013544"
"2330","33751175"
"2337","1736919"
"2338","158707"
"2342","254497"
"2344","2578632"
"2351","677567"
"2363","136155"
"2369","472330"
"2379","1676705"
"2388","384576"
"2401","441141"
"2408","4048028"
"2425","102405"
"2434","80132"
"2436","156373"
"2441","679101"
"2449","1051680"
"2451","3028651"
"2454","5296578"
"2458","378967"
"2481","410283"
"3006","442364"
"3014","317392"
"3016","69595"
"3034","3018101"
"3035","445767"
"3041","284756"
"3054","108630"
"3094","34911"
"3189","1328143"
"3257","44094"
"3443","851006"
"3474","3115568"
"3519","2051933"
"3532","754052"
"3545","374711"
"3559","98779"
"3579","51191"
"3583","408226"
"3588","75332"
"3598","560687"
"3686","461892"
"4919","527303"
"4952","229457"
"5305","618097"
"5471","279229"
"6145","662052"
"6202","220626"
"6239","3274276"
"6243","106101"
"6257","362290"
"6271","577260"
"6286","807859"
"8016","356275"
"8081","368025"
"8110","765968"
"8131","1190521"
"8261","310518"
"8271","706296"
"2301","8255719"
"2305","12405"
"2315","3622687"
"2324","60286104"
"2331","5612940"
"2352","5963818"
"2353","34784676"
"2356","29048252"
"2357","22002631"
"2358","52264"
"2361","95909"
"2362","1430142"
"2364","198788"
"2365","722103"
"2376","3769757"
"2377","6663077"
"2380","284124"
"2382","93420095"
"2385","1620380"
"2387","186018"
"2395","1423034"
"2397","130567"
"2399","523052"
"2405","228787"
"2417","150990"
"2424","15074"
"2438","6401"
"2442","343047"
"2465","175831"
"2474","727580"
"3002","44574"
"3005","568189"
"3013","295556"
"3017","727204"
"3022","363544"
"3046","204505"
"3057","102582"
"3060","509839"
"3231","48872017"
"3494","123968"
"3515","703129"
"3701","3881"
"4915","3620953"
"4938","19366317"
"6117","251329"
"6128","130911"
"6166","262797"
"6172","14932"
"6206","183706"
"6230","263891"
"6235","7696"
"6277","238236"
"8008","3698602"
"8114","148149"
"8210","204455"
"9912","37675"
"2323","1206617"
"2340","694230"
"2349","1423883"
"2374","3084521"
"2384","7643907"
"2393","1298436"
"2406","112567"
"2409","28155506"
"2426","258645"
"2443","96398"
"2448","1439375"
"2466","107257"
"2475","4533602"
"2486","268446"
"2489","8559318"
"2491","26295"
"2499","511463"
"3008","988732"
"3019","307499"
"3024","37919"
"3031","414492"
"3038","321358"
"3049","564505"
"3050","93336"
"3051","348691"
"3059","1682410"
"3061","295820"
"3149","348499"
"3356","99713"
"3383","342501"
"3406","762864"
"3454","156868"
"3481","44142542"
"3504","348306"
"3514","2364434"
"3535","47855"
"3536","52903"
"3557","109405"
"3561","1424771"
"3573","375799"
"3576","2307164"
"3584","486391"
"3591","191169"
"3593","330025"
"3599","1069435"
"3622","1230881"
"3669","142792"
"3698","659816"
"4934","557840"
"4942","66344"
"4956","90779"
"4960","1452587"
"4976","99950"
"5234","232536"
"5484","137821"
"6116","3399551"
"6120","1276709"
"6131","134225"
"6164","95311"
"6168","260392"
"6176","303129"
"6209","301527"
"6225","-9095"
"6226","72589"
"6278","363254"
"6289","90417"
"8072","270746"
"8105","1029451"
"8215","1533496"
"2314","630828"
"2321","713137"
"2332","214402"
"2345","2015082"
"2402","215312"
"2412","16090038"
"2419","757391"
"2439","542831"
"2444","204105"
"2450","1950380"
"2455","159775"
"2485","898477"
"2496","-3301"
"2498","33537318"
"3025","57369"
"3027","127683"
"3045","5113503"
"3047","228964"
"3062","1094693"
"3311","478913"
"3380","2242747"
"3419","125426"
"3596","1301487"
"3694","416068"
"3704","283537"
"4904","5037421"
"4906","2136357"
"5388","1068853"
"6136","76377"
"6142","1154719"
"6152","856503"
"6216","62888"
"6283","58054"
"6285","3175556"
"8011","90245"
"8078","1201752"
"8101","2200911"
"1471","589549"
"1582","84305"
"2059","156855"
"2308","2847834"
"2313","1603012"
"2316","326280"
"2327","946074"
"2328","397101"
"2355","979655"
"2367","863458"
"2368","1039754"
"2375","34852"
"2383","344224"
"2392","5085739"
"2413","355854"
"2415","85363"
"2420","268374"
"2421","490706"
"2428","220168"
"2429","48427"
"2431","156784"
"2437","84846"
"2440","191800"
"2456","148264"
"2457","1421437"
"2460","159459"
"2462","269630"
"2467","237614"
"2472","321499"
"2476","113191"
"2478","206049"
"2483","103468"
"2484","173128"
"2492","550881"
"2493","214338"
"3003","221901"
"3011","75276"
"3015","1191284"
"3023","173399"
"3026","1218829"
"3032","177278"
"3037","4218427"
"3042","744588"
"3044","454649"
"3058","451156"
"3090","158620"
"3229","71700"
"3296","231301"
"3308","311503"
"3376","266441"
"3432","83218"
"3501","340158"
"3533","577168"
"3550","197647"
"3605","203628"
"3607","446247"
"3645","63482"
"3653","244310"
"3679","374499"
"5469","189927"
"6108","183673"
"6115","470900"
"6133","90791"
"6141","86114"
"6153","639152"
"6155","44707"
"6165","38789"
"6191","2524114"
"6205","109675"
"6213","374739"
"6224","95133"
"6251","839090"
"6269","463369"
"6282","1599490"
"8039","334038"
"8046","3069835"
"8103","106512"
"8163","933017"
"8213","1171553"
"8249","544671"
"2347","5203319"
"2348","32576"
"2359","343741"
"2414","1441924"
"2430","2381369"
"2459","443405"
"3010","1979371"
"3028","2467100"
"3033","1568469"
"3036","4481890"
"3040","15591"
"3048","2641559"
"3055","172556"
"3209","672439"
"3312","1113781"
"3315","476877"
"3702","488106"
