"V1","V2"
"1101","10757628"
"1102","7549925"
"1103","172927"
"1104","337575"
"1108","276298"
"1109","577408"
"1110","119405"
"1201","1720797"
"1203","498245"
"1210","5925107"
"1213","59092"
"1215","1730988"
"1216","37048407"
"1217","377313"
"1218","658400"
"1219","920626"
"1220","213619"
"1225","865271"
"1227","1879768"
"1229","418537"
"1231","612393"
"1232","1444955"
"1233","178847"
"1234","701461"
"1235","2617"
"1236","106199"
"1702","1645855"
"1737","282659"
"1301","20558945"
"1303","28502591"
"1304","5048260"
"1305","1286392"
"1307","652459"
"1308","507832"
"1309","1883620"
"1310","1406472"
"1312","2225621"
"1313","4772075"
"1314","3340088"
"1315","238539"
"1319","1828953"
"1321","398664"
"1323","334491"
"1324","111503"
"1325","73695"
"1326","33934532"
"1339","211349"
"4306","1521352"
"1402","18396972"
"1409","3965800"
"1410","41739"
"1413","287039"
"1414","75586"
"1416","20541"
"1417","117407"
"1418","157680"
"1419","103465"
"1423","61927"
"1434","3777686"
"1439","22754"
"1440","2163425"
"1441","138289"
"1443","116211"
"1444","943191"
"1445","143467"
"1446","42038"
"1447","1421013"
"1449","213334"
"1451","765230"
"1452","166570"
"1453","16155"
"1454","155058"
"1455","1328933"
"1456","35238"
"1457","447374"
"1459","289684"
"1460","644155"
"1463","175089"
"1464","702894"
"1465","150076"
"1466","325716"
"1467","570425"
"1468","97983"
"1470","69161"
"1472","47318"
"1473","821492"
"1474","336701"
"1475","6225"
"1476","2297731"
"1477","1977292"
"4414","2127398"
"4426","141250"
"4438","1421804"
"1503","2221449"
"1504","4439028"
"1506","97959"
"1507","1205201"
"1512","283806"
"1513","1099422"
"1514","312426"
"1515","363293"
"1517","263095"
"1519","506746"
"1521","511118"
"1522","1275302"
"1524","199832"
"1525","114395"
"1526","102055"
"1527","297763"
"1528","423102"
"1529","23928"
"1530","445593"
"1531","221748"
"1532","1089980"
"1533","202401"
"1535","812982"
"1536","564096"
"1537","753651"
"1538","29656"
"1539","224278"
"1540","38197"
"1541","282617"
"1558","859059"
"1560","385756"
"1568","192222"
"1583","745759"
"1587","128613"
"2049","2701630"
"2228","336813"
"2231","352515"
"2371","5488490"
"3167","398346"
"3346","375284"
"4526","1041844"
"4532","2278714"
"4540","331164"
"4551","366251"
"4555","159820"
"4562","135654"
"4564","204451"
"4566","302119"
"6605","1225621"
