"V1","V2"
"1101","10596314"
"1102","8434811"
"1103","160751"
"1104","418992"
"1108","323834"
"1109","753252"
"1110","118229"
"1201","1695994"
"1203","469207"
"1210","6424220"
"1213","28570"
"1215","1739496"
"1216","36918812"
"1217","287677"
"1218","592778"
"1219","1038477"
"1220","209667"
"1225","889193"
"1227","1776586"
"1229","616100"
"1231","642774"
"1232","1328619"
"1233","165999"
"1234","618002"
"1235","2555"
"1236","123213"
"1702","1479700"
"1737","228226"
"1301","19209008"
"1303","25074397"
"1304","4838177"
"1305","1322372"
"1307","892304"
"1308","622183"
"1309","1588471"
"1310","1058511"
"1312","1880808"
"1313","5712007"
"1314","2737182"
"1315","153983"
"1319","1817693"
"1321","399857"
"1323","311253"
"1324","99656"
"1325","67408"
"1326","28942093"
"1339","234720"
"4306","1470182"
"1402","21737013"
"1409","3549872"
"1410","33432"
"1413","294785"
"1414","64024"
"1416","19058"
"1417","108302"
"1418","22990"
"1419","146762"
"1423","63594"
"1434","4285409"
"1439","17363"
"1440","1972090"
"1441","131661"
"1443","63051"
"1444","1020252"
"1445","124374"
"1446","43963"
"1447","1422954"
"1449","220943"
"1451","639664"
"1452","178997"
"1453","37"
"1454","176514"
"1455","1117121"
"1456","114232"
"1457","483979"
"1459","294357"
"1460","734719"
"1463","47524"
"1464","815113"
"1465","92688"
"1466","305811"
"1467","611395"
"1468","94992"
"1470","73403"
"1472","27124"
"1473","391520"
"1474","304444"
"1475","4594"
"1476","2040691"
"1477","1819006"
"4414","878159"
"4426","235561"
"4438","747694"
"1503","1952433"
"1504","3883445"
"1506","107664"
"1507","1035330"
"1512","141025"
"1513","860310"
"1514","417216"
"1515","634330"
"1517","248372"
"1519","450377"
"1521","424421"
"1522","1628524"
"1524","200517"
"1525","122784"
"1526","104555"
"1527","315568"
"1528","322028"
"1529","5208"
"1530","260772"
"1531","215510"
"1532","1099565"
"1533","231081"
"1535","682762"
"1536","509843"
"1537","655797"
"1538","20565"
"1539","188440"
"1540","72586"
"1541","383227"
"1558","537176"
"1560","400295"
"1568","173325"
"1583","462119"
"1587","129316"
"2049","1957222"
"2228","392396"
"2231","313860"
"2371","2805065"
"3167","175636"
"3346","399314"
"4526","684094"
"4532","2356716"
"4540","192332"
"4551","406177"
"4555","120545"
"4562","99219"
"4564","292470"
"4566","348746"
"6605","1185850"
"8222","76260"
"8374","307295"
"8996","168824"
"1603","282191"
"1604","672274"
"1605","14156462"
"1608","602601"
"1609","1584250"
"1611","204744"
"1612","291449"
"1614","499403"
"1615","187053"
"1616","200227"
"1617","258459"
"1618","158173"
"4930","953825"
"1316","48168"
"1708","385650"
"1709","748893"
"1710","2212407"
"1711","847429"
"1712","1465595"
"1713","51639"
"1714","2527976"
"1717","3554479"
"1718","3154830"
"1721","265931"
"1722","1145866"
"1723","631257"
"1724","159847"
"1725","858623"
"1726","618665"
"1727","203815"
"1730","318467"
"1732","48512"
"1735","273969"
"1773","598721"
"1776","156968"
"3708","566613"
"4720","274170"
"4722","407465"
"4725","1239157"
"4739","546626"
"4755","368633"
"4764","340329"
"4766","1463933"
"1598","452865"
"1701","668917"
"1707","762623"
"1720","321953"
"1731","97190"
"1733","193298"
"1734","167973"
"1736","1843157"
"1760","140617"
"1762","71108"
"1783","32453"
"1786","23105"
"1789","126164"
"3164","20427"
"3705","696808"
"4104","486088"
"4106","146171"
"4108","8128"
"4119","201902"
"4133","32308"
"4142","26612"
"4155","81757"
"4164","270559"
"4737","198277"
"4746","215866"
"1802","3319249"
"1806","503642"
"1809","203641"
"1810","454667"
"1817","206826"
"1902","378644"
"1903","16023"
"1904","3270575"
"1905","1839746"
"1906","78966"
"1907","6304411"
"1909","4151146"
"2002","33167382"
"2006","3594361"
"2007","544030"
"2008","104792"
"2009","196095"
"2010","1315862"
"2012","757726"
"2013","1803066"
"2014","4306539"
"2015","2435220"
"2017","339243"
"2020","349051"
"2022","981207"
"2023","5193871"
"2024","117513"
"2025","183543"
"2027","7069434"
"2028","826360"
"2029","892533"
"2030","964570"
"2031","634968"
"2032","222187"
"2033","78026"
"2034","1438624"
"2038","745003"
"2069","751917"
"3004","225153"
"5007","588623"
"9958","128912"
"2101","1017709"
"2102","405057"
"2103","2650505"
"2104","2068116"
"2105","9601440"
"2106","3025461"
"2107","255919"
"2108","1110347"
"2109","378349"
