"V1","V2"
"1101","8003992"
"1102","5547070"
"1103","297423"
"1104","453342"
"1108","426840"
"1109","360541"
"1110","161982"
"1201","1549255"
"1203","568109"
"1210","6419347"
"1213","40769"
"1215","1326141"
"1216","31056448"
"1217","235723"
"1218","596740"
"1219","851050"
"1220","286959"
"1225","900226"
"1227","1896134"
"1229","454025"
"1231","458240"
"1232","1434075"
"1233","194491"
"1234","466030"
"1235","7826"
"1236","159281"
"1702","1275104"
"1737","209149"
"1301","14403782"
"1303","21968822"
"1304","4191198"
"1305","1180349"
"1307","900403"
"1308","476983"
"1309","1220567"
"1310","1174071"
"1312","1598969"
"1313","3320514"
"1314","1483775"
"1315","223720"
"1319","2003875"
"1321","279925"
"1323","279173"
"1324","104036"
"1325","92238"
"1326","26580556"
"1339","240032"
"4306","1424751"
"1402","17718060"
"1409","3075271"
"1410","51264"
"1413","205166"
"1414","74990"
"1416","21591"
"1417","354965"
"1418","130478"
"1419","116178"
"1423","37672"
"1434","3195854"
"1439","38187"
"1440","1671225"
"1441","133207"
"1443","122487"
"1444","814150"
"1445","146526"
"1446","71763"
"1447","1158887"
"1449","212850"
"1451","1076153"
"1452","153259"
"1453","3038"
"1454","159133"
"1455","1146429"
"1456","38852"
"1457","433524"
"1459","332570"
"1460","725141"
"1463","35455"
"1464","714935"
"1465","192121"
"1466","285420"
"1467","547401"
"1468","40373"
"1470","56850"
"1472","54588"
"1473","545131"
"1474","262042"
"1475","18214"
"1476","2387406"
"1477","1418965"
"4414","252691"
"4426","191731"
"4438","425803"
"1503","1477451"
"1504","3937742"
"1506","135916"
"1507","1906937"
"1512","518235"
"1513","815209"
"1514","278566"
"1515","235191"
"1517","271001"
"1519","425651"
"1521","450399"
"1522","1256529"
"1524","223928"
"1525","100512"
"1526","61420"
"1527","227208"
"1528","280649"
"1529","17207"
"1530","300130"
"1531","168596"
"1532","1436291"
"1533","198124"
"1535","898773"
"1536","483027"
"1537","584338"
"1538","44211"
"1539","168031"
"1540","44948"
"1541","157028"
"1558","470991"
"1560","304497"
"1568","212714"
"1583","553220"
"1587","116038"
"2049","982102"
"2228","334301"
"2231","245598"
"2371","7590188"
"3167","139486"
"3346","272424"
"4526","699136"
"4532","1125373"
"4540","102857"
"4551","288982"
"4555","84468"
"4562","79457"
"6605","1417246"
"8222","65483"
"8374","285034"
"8996","139639"
"1603","243104"
"1604","716388"
"1605","11948344"
"1608","796728"
"1609","1257202"
"1611","225566"
"1612","237066"
"1614","322706"
"1615","134290"
"1616","250439"
"1617","221488"
"1618","246175"
"4930","1148029"
"1316","43092"
"1708","334908"
"1709","616759"
"1710","1018618"
"1711","727550"
"1712","1244444"
"1713","40608"
"1714","2694527"
"1717","3217936"
"1718","2829084"
"1721","128001"
"1722","1298217"
"1723","313467"
"1724","163688"
"1725","747738"
"1726","679952"
"1727","173990"
"1730","183720"
"1732","44902"
"1735","254593"
"1773","528531"
"1776","187328"
"4720","199009"
"4722","361294"
"4725","641646"
"4739","340162"
"4755","279075"
"1598","507495"
"1701","454265"
"1707","635860"
"1720","289459"
"1731","105598"
"1733","164771"
"1734","189863"
"1736","1788835"
"1760","137306"
"1762","107794"
"1783","21494"
"1786","21505"
"1789","354985"
"3164","39398"
"3705","529798"
"4104","529208"
"4106","161744"
"4108","1818"
"4119","112938"
"4133","37776"
"4142","990"
"4155","101865"
"4164","164923"
"4737","113380"
"4746","276356"
"1802","3785276"
"1806","500978"
"1809","229367"
"1810","480024"
"1817","206818"
"1902","586279"
"1903","6075"
"1904","3544237"
"1905","1787559"
"1906","27090"
"1907","5500346"
"1909","2026863"
"2002","20302262"
"2006","2666680"
"2007","679561"
"2008","75620"
"2009","248971"
"2010","1412187"
"2012","677319"
"2013","1625686"
"2014","2108156"
"2015","1752032"
"2017","302254"
"2020","378644"
"2022","639901"
"2023","3289709"
"2024","110514"
"2025","167824"
"2027","3481793"
"2028","201692"
"2029","693534"
"2030","931071"
"2031","524347"
"2032","228805"
"2033","61869"
"2034","1131482"
"2038","497480"
"2069","569138"
"3004","146125"
"5007","475435"
"9958","346505"
"2101","769298"
"2102","572620"
"2103","2130793"
"2104","1209143"
"2105","9290470"
"2106","2322936"
"2107","154049"
"2108","706089"
"2109","462885"
"2114","140515"
"2201","9777592"
"2204","2608844"
"2206","2173686"
"2207","14648718"
"2227","2335397"
"2302","46832"
"2303","11117338"
"2329","1562329"
"2330","63428163"
"2337","1956105"
"2338","135808"
"2342","114064"
"2344","3307924"
"2351","679829"
"2363","16691"
"2369","465901"
"2379","3366443"
"2388","369461"
"2401","607424"
"2408","3373228"
"2434","19904"
"2436","159274"
"2441","911767"
"2449","1420621"
"2451","2322283"
"2454","20955528"
"2458","598751"
"2481","1101777"
"3006","860848"
"3014","275958"
"3016","46739"
"3034","4204216"
"3035","527283"
"3041","348781"
"3054","50822"
"3094","31815"
"3189","2133335"
"3257","82032"
"3413","584066"
"3443","514322"
"3519","1399476"
"3530","90863"
"3532","775742"
"3536","91427"
"3545","1004153"
"3579","1413703"
"3583","235334"
"3588","88001"
"3686","140546"
"4919","591701"
"4952","221630"
"4961","551206"
"4967","348745"
"4968","154497"
"5269","153323"
"5285","143734"
"5305","811576"
"5471","263765"
"6202","357780"
"6239","4155277"
"6243","47167"
"6257","430409"
"6271","596788"
"6531","311037"
"6533","11458"
"6552","135146"
"8016","860924"
"8028","158026"
"8081","298560"
"8110","703342"
"8131","742457"
"8150","1576650"
"8261","119813"
"8271","570246"
"2301","18818084"
"2305","72861"
"2324","77892602"
"2331","2858824"
"2352","11118865"
"2353","23380263"
