"V1","V2"
"1101","9985897"
"1102","6639248"
"1103","181868"
"1104","381565"
"1108","258913"
"1109","673172"
"1110","183382"
"1201","1642814"
"1203","493888"
"1210","6490644"
"1213","32994"
"1215","1699007"
"1216","31140541"
"1217","253185"
"1218","546892"
"1219","917403"
"1220","253547"
"1225","950447"
"1227","2291703"
"1229","413675"
"1231","557274"
"1232","1405095"
"1233","189012"
"1234","691728"
"1235","4264"
"1236","165377"
"1702","1540450"
"1737","206891"
"1301","18616550"
"1303","27390672"
"1304","5204398"
"1305","1184875"
"1307","712095"
"1308","548296"
"1309","1907532"
"1310","1266319"
"1312","2117330"
"1313","5034585"
"1314","3017720"
"1315","205141"
"1319","2326706"
"1321","384162"
"1323","287147"
"1324","105613"
"1325","65771"
"1326","31575535"
"1339","290446"
"4306","1650350"
"1402","19453831"
"1409","3244104"
"1410","45141"
"1413","252670"
"1414","85131"
"1416","32485"
"1417","156052"
"1418","178787"
"1419","160351"
"1423","95680"
"1434","3240401"
"1439","24911"
"1440","1882294"
"1441","153447"
"1443","94661"
"1444","1000540"
"1445","136744"
"1446","43209"
"1447","1500975"
"1449","211646"
"1451","654512"
"1452","176915"
"1453","5320"
"1454","158855"
"1455","1278328"
"1456","56367"
"1457","427134"
"1459","331334"
"1460","861183"
"1463","34027"
"1464","801023"
"1465","157456"
"1466","314557"
"1467","640641"
"1468","41814"
"1470","60629"
"1472","85382"
"1473","603504"
"1474","316589"
"1475","5205"
"1476","2387900"
"1477","1383993"
"4414","1633713"
"4426","158528"
"4438","602531"
"1503","1802085"
"1504","4700806"
"1506","124605"
"1507","1138624"
"1512","278914"
"1513","1576605"
"1514","440750"
"1515","560619"
"1517","252415"
"1519","405276"
"1521","539832"
"1522","1402837"
"1524","238569"
"1525","105327"
"1526","125658"
"1527","282262"
"1528","456071"
"1529","153356"
"1530","425323"
"1531","211146"
"1532","1336724"
"1533","240395"
"1535","1160989"
"1536","611703"
"1537","683644"
"1538","48420"
"1539","229036"
"1540","52645"
"1541","338879"
"1558","551123"
"1560","392038"
"1568","303605"
"1583","746216"
"1587","118322"
"2049","2041337"
"2228","356615"
"2231","280773"
"2371","6831485"
"3167","348311"
"3346","468227"
"4526","901233"
"4532","1707947"
"4540","264479"
"4551","370579"
"4555","133356"
"4562","133387"
"4564","186723"
"4566","275238"
"6605","1463658"
"8222","82514"
"8374","345394"
"8996","152882"
"1603","196923"
"1604","639911"
"1605","14664168"
"1608","685921"
"1609","1534939"
"1611","204251"
"1612","265435"
"1614","360404"
"1615","260784"
"1616","303664"
"1617","329026"
"1618","146708"
"4930","948949"
"1316","401629"
"1708","319544"
"1709","646078"
"1710","2400216"
"1711","828814"
"1712","1390104"
"1713","68397"
"1714","2651414"
"1717","3820155"
"1718","3126845"
"1721","344516"
"1722","781336"
"1723","368596"
"1724","181375"
"1725","923078"
"1726","662888"
"1727","233124"
"1730","197925"
"1732","47376"
"1735","308586"
"1773","575185"
"1776","208768"
"3708","547094"
"4720","253004"
"4722","436288"
"4725","1204414"
"4739","470146"
"4755","367864"
"4764","351347"
"4766","1354217"
"1598","514407"
"1701","587918"
"1707","1041980"
"1720","311889"
"1731","140699"
"1733","142508"
"1734","196136"
"1736","1972732"
"1760","157769"
"1762","78064"
"1783","43294"
"1786","20505"
"1789","273050"
"3164","25283"
"3705","635344"
"4104","550708"
"4106","180648"
"4108","4249"
"4119","78931"
"4133","34398"
"4142","32126"
"4155","87415"
"4164","160534"
"4737","175847"
"4746","186239"
"1802","4173851"
"1806","449312"
"1809","191745"
"1810","497687"
"1817","209797"
"1902","259820"
"1903","12728"
"1904","3519131"
"1905","2099533"
"1906","201562"
"1907","5914551"
"1909","4024796"
"2002","29678153"
"2006","3119647"
"2007","644317"
"2008","95879"
"2009","290389"
"2010","1409379"
"2012","866839"
"2013","1261180"
"2014","3588838"
"2015","2539396"
"2017","335652"
"2020","413373"
"2022","781953"
"2023","5912436"
"2024","125831"
"2025","289784"
"2027","5878153"
"2028","799170"
"2029","1025035"
"2030","1144493"
"2031","712962"
"2032","286752"
"2033","72234"
"2034","1475431"
"2038","577797"
"2069","677101"
"3004","150502"
"5007","658020"
"9958","158651"
"2101","860827"
"2102","424124"
"2103","2491743"
"2104","1794085"
"2105","9245580"
"2106","2603789"
"2107","159855"
"2108","1009563"
"2109","441950"
"2114","160788"
"6582","210129"
"2201","8994123"
"2204","2294421"
"2206","2354469"
"2207","17012905"
"2227","2597177"
"2302","45485"
"2303","12154717"
"2329","1256390"
"2330","93153310"
"2337","3287986"
"2338","178719"
"2342","139631"
"2344","4474010"
"2351","804900"
"2363","17665"
"2369","528603"
"2379","3764484"
"2388","351985"
"2401","566948"
"2408","5744613"
"2434","26192"
"2436","225892"
"2441","1067124"
"2449","1583439"
"2451","1738766"
"2454","20739411"
"2458","634071"
"2481","1028489"
"3006","1043478"
"3014","285519"
"3016","286241"
"3034","4071011"
"3035","400380"
"3041","258369"
"3054","23338"
"3094","23511"
"3189","2073660"
"3257","69612"
"3413","761316"
"3443","1239775"
"3530","163252"
"3532","1115222"
"3536","138990"
"3545","986075"
"3579","1279606"
"3583","319946"
"3588","90082"
"3686","113512"
"4919","785487"
"4952","239522"
"4961","590414"
"4967","604277"
"4968","237052"
"5269","220153"
"5285","416633"
"5305","983279"
"5471","280710"
"6202","462909"
"6239","5632258"
"6243","50645"
"6257","829776"
"6271","660639"
"6531","397161"
"6533","27380"
