"V1","V2"
"1101","1723441"
"1102","784369"
"1103","90503"
"1104","273966"
"1108","238923"
"1109","130079"
"1110","129548"
"1201","1022158"
"1203","144944"
"1210","1814091"
"1213","47032"
"1215","1181696"
"1216","3267982"
"1217","165097"
"1218","514205"
"1219","695993"
"1220","194251"
"1225","695773"
"1227","865357"
"1229","312927"
"1231","409434"
"1232","1332607"
"1233","139266"
"1234","447517"
"1235","28703"
"1236","132180"
"1702","170269"
"1737","183540"
"1301","16243897"
"1303","16471314"
"1304","1047001"
"1305","783964"
"1307","703182"
"1308","493382"
"1309","889507"
"1310","1287758"
"1312","1592227"
"1313","701500"
"1314","2823548"
"1315","180480"
"1319","1049472"
"1321","412417"
"1323","123075"
"1324","105581"
"1325","74604"
"1326","27391879"
"1339","85299"
"1715","410266"
"4306","488052"
"1402","5342084"
"1409","2619207"
"1410","26648"
"1413","357735"
"1414","135019"
"1416","27823"
"1417","150230"
"1418","410212"
"1419","71267"
"1423","85944"
"1432","2371"
"1434","2925444"
"1439","83342"
"1440","1411551"
"1441","137714"
"1443","55786"
"1444","1181482"
"1445","176519"
"1446","22628"
"1447","2514013"
"1449","147098"
"1451","835278"
"1452","173870"
"1453","29326"
"1454","204845"
"1455","1695368"
"1456","177725"
"1457","451818"
"1459","303155"
"1460","554438"
"1463","42772"
"1464","153724"
"1465","116275"
"1466","525205"
"1467","164887"
"1468","68775"
"1469","36817"
"1470","63872"
"1472","32136"
"1473","655370"
"1474","273361"
"1475","22999"
"1476","921481"
"1477","1043678"
"4414","156971"
"4426","65365"
"1503","1292580"
"1504","1938952"
"1506","88057"
"1507","319050"
"1512","185749"
"1513","716258"
"1514","269524"
"1515","187126"
"1517","206700"
"1519","180681"
"1521","348960"
"1522","699539"
"1524","255031"
"1525","99585"
"1526","42705"
"1527","233031"
"1528","149270"
"1529","9646"
"1530","233292"
"1531","142104"
"1533","108249"
"1535","799306"
"1536","287112"
"1537","308073"
"1538","60571"
"1539","92145"
"1540","88333"
"1541","102463"
"1558","332577"
"1560","311981"
"1568","121998"
"1583","192813"
"2049","654176"
"2228","129611"
"2231","85310"
"2371","2814598"
"3167","141849"
"4526","329909"
"4532","431728"
"6605","837312"
"8222","58065"
"8374","80411"
"8996","97298"
"1603","256727"
"1604","674767"
"1605","6212312"
"1608","764091"
"1609","649319"
"1611","547578"
"1612","511738"
"1613","477056"
"1614","525768"
"1615","361260"
"1616","252299"
"1617","330652"
"1618","174982"
"4930","35319"
"1316","12354"
"1704","2637241"
"1708","289802"
"1709","911815"
"1710","1122103"
"1711","506706"
"1712","498464"
"1713","47781"
"1714","1068251"
"1717","1457587"
"1718","1396504"
"1721","115101"
"1722","1394999"
"1723","778157"
"1724","173396"
"1725","866082"
"1726","452860"
"1727","164038"
"1730","79386"
"1732","42209"
"1735","166135"
"1773","611804"
"4720","129919"
"4722","337204"
"4725","2311192"
"4733","151392"
"1701","237515"
"1707","194533"
"1720","155534"
"1729","40800"
"1731","159749"
"1733","180903"
"1734","123186"
"1736","574061"
"1762","90165"
"1783","17642"
"1786","9127"
"1789","241897"
