"V1","V2"
"1101","1411427"
"1102","657640"
"1103","93848"
"1104","194335"
"1108","164703"
"1109","74300"
"1110","88192"
"1201","896623"
"1203","149486"
"1210","1637680"
"1213","50387"
"1215","952927"
"1216","3440539"
"1217","164641"
"1218","506703"
"1219","673246"
"1220","169368"
"1225","624783"
"1227","803764"
"1229","282608"
"1231","344734"
"1232","1068252"
"1233","149401"
"1234","382187"
"1235","28251"
"1236","104736"
"1702","150324"
"1301","14625606"
"1303","18045714"
"1304","926744"
"1305","668122"
"1307","379036"
"1308","626633"
"1309","784060"
"1310","1013631"
"1312","1549879"
"1313","527425"
"1314","3028445"
"1315","125309"
"1316","10570"
"1319","903875"
"1321","349446"
"1323","91382"
"1324","120137"
"1325","75288"
"1326","27187369"
"1339","57691"
"1715","258055"
"4306","331723"
"1402","4561804"
"1409","1998836"
"1410","17754"
"1413","323214"
"1414","83960"
"1416","8780"
"1417","89823"
"1418","349335"
"1419","48097"
"1423","96667"
"1432","3581"
"1434","2698348"
"1438","23371"
"1439","21276"
"1440","1274069"
"1441","138713"
"1443","90587"
"1444","836337"
"1445","132961"
"1446","55329"
"1447","1473527"
"1449","146562"
"1451","702258"
"1452","212188"
"1453","33585"
"1454","198739"
"1455","1593744"
"1456","180704"
"1457","474761"
"1459","303693"
"1460","379995"
"1463","35893"
"1464","107200"
"1465","74978"
"1466","489004"
"1467","242715"
"1468","40621"
"1469","62662"
"1470","54897"
"1472","101390"
"1473","650335"
"1474","243516"
"1475","57810"
"1476","536172"
"1477","795409"
"4414","229196"
"4426","30990"
"1503","1018665"
"1504","1637567"
"1506","68584"
"1507","300239"
"1512","168504"
"1513","547550"
"1514","202477"
"1515","105776"
"1516","0"
"1517","131695"
"1519","201832"
"1521","352381"
"1522","529969"
"1524","209360"
"1525","103523"
"1526","34400"
"1527","151415"
"1528","159450"
"1529","7342"
"1530","123964"
"1531","257139"
"1533","102069"
"1535","608888"
"1536","165160"
"1537","318301"
"1538","75541"
"1539","54758"
"1540","39526"
"1541","33646"
"1560","284870"
"1583","80125"
"2049","853365"
"2231","74576"
"4526","337018"
"4532","320857"
"6605","701648"
"8374","103842"
"1603","144567"
"1604","420336"
"1605","5738729"
"1608","856509"
"1609","549569"
"1611","508596"
"1612","319985"
"1613","369619"
"1614","395826"
"1615","376494"
"1616","276866"
"1617","414791"
"1618","311289"
"4930","35190"
"1704","2280121"
"1708","176910"
"1709","777169"
"1710","1118352"
"1711","408541"
"1712","447780"
"1713","40657"
"1714","804193"
"1717","1210277"
"1718","1495331"
"1721","129411"
"1722","1249533"
"1723","764862"
"1724","171241"
"1725","751326"
"1726","440248"
"1727","131583"
"1730","59563"
"1732","38356"
"1735","131579"
"1737","165762"
"1773","496752"
"4722","171730"
"4725","2181358"
"4733","121030"
"1701","173104"
"1707","144196"
"1720","130413"
"1729","50232"
"1731","136328"
"1733","127667"
"1734","98228"
"1736","351049"
"1762","76863"
"1789","214569"
"3164","14523"
"3705","10441"
"4104","214621"
"4106","89750"
"4108","5796"
"4119","93519"
"4133","40761"
"4142","143"
"4737","88065"
"4746","160611"
"1802","965561"
"1806","137285"
"1809","85851"
"1810","198997"
"1902","382436"
"1903","163142"
"1904","1690068"
"1905","536801"
"1906","27269"
"1907","1287050"
"1909","469905"
"1532","356211"
"2002","16026288"
"2006","2484350"
"2007","1050967"
"2008","399896"
"2009","492954"
"2010","1106551"
"2012","301699"
"2013","639822"
"2014","4120971"
"2015","2252529"
"2017","546497"
"2020","430628"
"2022","269545"
"2023","2775890"
"2024","158859"
"2025","689268"
"2027","728733"
"2028","759284"
"2029","1054764"
"2030","1074670"
"2031","602463"
"2032","391542"
"2033","88386"
"2034","1733307"
"2038","850931"
"3004","46364"
"5007","380987"
"9958","116253"
"2101","443472"
"2102","466771"
"2103","1561878"
"2104","393967"
"2105","1283174"
"2106","365253"
"2107","183473"
"2108","491745"
"2109","149393"
"2114","112275"
"2201","2279488"
"2204","2224626"
"2206","1334532"
"2207","5661859"
"2227","2011383"
"1437","93064"
"2302","27351"
"2303","9007512"
"2311","5059634"
"2325","4083470"
"2329","677862"
"2330","31753825"
"2337","2403074"
"2338","126127"
"2342","297680"
"2344","2187939"
"2351","533246"
"2363","159430"
"2369","427314"
"2379","1479425"
"2388","329465"
"2401","206008"
"2408","3551825"
"2425","104573"
"2434","53646"
"2436","151204"
"2441","545029"
"2449","970771"
"2451","1884552"
"2454","2735915"
"2458","313696"
"2481","337978"
"3006","399684"
"3014","273066"
"3016","71434"
"3034","2419204"
"3035","350228"
"3041","163889"
"3054","91859"
"3094","28080"
"3189","1104018"
"3257","38261"
"3443","612145"
"3474","2735602"
"3519","2113812"
"3532","737554"
"3545","336472"
"3559","80390"
"3579","62841"
"3583","90884"
"3588","75850"
"3598","472545"
"3686","514921"
"4919","506750"
"4952","158143"
"5305","445176"
"5471","205062"
"6145","516171"
"6202","223017"
"6239","3078674"
"6243","62467"
"6257","319272"
"6271","440952"
"6286","824010"
"8016","256370"
"8081","307670"
"8110","607104"
"8131","964584"
"8261","206666"
"8271","610165"
"2301","6349603"
"2305","12093"
"2315","2202015"
"2324","43471055"
"2331","3306824"
"2352","3918914"
"2353","28054539"
"2356","23027217"
"2357","14223172"
"2358","43653"
"2361","54280"
"2362","747543"
"2364","98829"
"2365","550778"
"2376","2735854"
"2377","4956124"
"2380","224458"
"2382","58342804"
"2385","931036"
"2387","98753"
"2395","1097999"
"2397","101211"
"2399","494019"
"2405","212941"
"2417","92502"
"2424","25417"
"2438","4612"
"2442","32026"
"2465","108969"
"2474","626494"
"3002","20060"
"3005","276099"
"3013","206998"
"3017","720917"
"3022","544503"
"3046","120393"
"3057","80438"
"3060","334649"
"3231","31046478"
"3494","138179"
"3515","610572"
"3701","3631"
"4915","2334140"
"4938","14967978"
"6117","185357"
"6128","106401"
"6166","246227"
"6172","20775"
"6206","203835"
"6230","160628"
"6235","19599"
"6277","167084"
"8008","3086942"
"8114","85558"
"8210","136288"
"9912","42805"
"2323","923420"
"2340","577311"
"2349","829073"
"2374","2782448"
"2384","5895755"
"2393","1101455"
"2406","165775"
"2409","25712477"
"2426","225675"
"2443","74015"
"2448","1360967"
"2466","73629"
"2475","4304498"
"2486","276039"
"2489","4864292"
"2491","18227"
"2499","538631"
"3008","786818"
"3019","238784"
"3024","13022"
"3031","253673"
"3038","362957"
"3049","255874"
"3050","84095"
"3051","319014"
"3059","1198732"
"3061","350433"
"3149","340420"
"3356","89498"
"3383","302270"
"3406","235190"
"3454","131178"
"3481","36398802"
"3504","354511"
"3514","1925891"
"3535","40786"
"3536","31424"
"3557","63385"
"3561","1638743"
"3573","381649"
"3576","2447216"
"3584","345866"
"3591","181005"
"3593","240549"
"3599","1114382"
"3622","901549"
"3669","112175"
"3698","520792"
"4934","535027"
"4942","86272"
"4956","85162"
"4960","1245793"
"4976","84061"
"5234","228755"
"5484","71172"
"6116","3155618"
"6120","1346160"
"6131","94175"
"6164","60752"
"6168","273531"
"6176","386569"
"6209","204635"
"6225","44044"
"6226","46690"
"6278","379381"
"6289","76632"
"8072","231839"
"8105","799763"
"8215","1535887"
"2314","604562"
"2321","500718"
"2332","214348"
"2345","1119687"
"2402","193673"
"2412","16035621"
"2419","395058"
"2439","268640"
"2444","119839"
"2450","1942419"
"2455","186533"
"2485","775383"
"2496","4145"
"2498","31041734"
"3025","59180"
"3027","69248"
"3045","4861185"
"3047","251684"
"3062","812930"
"3311","562836"
"3380","1144590"
"3419","92352"
"3596","1152271"
"3694","334524"
"3704","271532"
"4904","4565946"
"4906","1636904"
"5388","643703"
"6136","81063"
"6142","656025"
"6152","422009"
"6216","30411"
"6283","13059"
"6285","2158762"
"8011","85834"
"8078","826908"
"8101","1272418"
"1471","364099"
"1582","128013"
"2059","118321"
"2308","1934852"
"2313","1291261"
"2316","248234"
"2327","797456"
"2328","286252"
"2355","910595"
"2367","822146"
"2368","927650"
"2375","21955"
"2383","372339"
"2392","2960528"
"2413","160100"
"2415","49227"
"2420","186255"
"2421","304401"
"2428","141380"
"2429","33019"
"2431","125045"
"2437","70791"
"2440","127362"
"2456","141043"
"2457","846795"
