"V1","V2"
"1101","1804805"
"1102","742167"
"1103","131120"
"1104","227725"
"1108","244932"
"1109","108538"
"1110","99898"
"1201","1190111"
"1203","148189"
"1210","1703744"
"1213","62412"
"1215","1201537"
"1216","4228428"
"1217","262298"
"1218","693581"
"1219","793607"
"1220","233825"
"1225","664565"
"1227","961342"
"1229","270931"
"1231","358296"
"1232","1356053"
"1233","177635"
"1234","304356"
"1235","44184"
"1236","255692"
"1702","172910"
"1301","15551056"
"1303","17157259"
"1304","1004232"
"1305","715257"
"1307","508129"
"1308","477340"
"1309","934118"
"1310","1105891"
"1312","1348775"
"1313","732417"
"1314","3498883"
"1315","215631"
"1316","16872"
"1319","1050342"
"1321","462942"
"1323","139656"
"1324","137745"
"1325","103892"
"1326","21522518"
"1339","85452"
"1715","334727"
"4306","389957"
"1402","4223220"
"1409","1970943"
"1410","31661"
"1413","324843"
"1414","113132"
"1416","11805"
"1417","83832"
"1418","263267"
"1419","69957"
"1423","67601"
"1432","60"
"1434","2742761"
"1438","11842"
"1439","48632"
"1440","1390468"
"1441","123754"
"1443","76404"
"1444","810612"
"1445","186705"
"1446","83329"
"1447","2247993"
"1449","170445"
"1451","881807"
"1452","179641"
"1453","38634"
"1454","192570"
"1455","1486783"
"1456","176031"
"1457","338516"
"1459","329827"
"1460","409770"
"1463","46241"
"1464","146808"
"1465","137636"
"1466","466380"
"1467","376653"
"1468","51599"
"1469","64190"
"1470","64158"
"1472","77605"
"1473","520072"
"1474","296429"
"1475","78371"
"1476","795856"
"1477","1639105"
"4414","166797"
"4426","77880"
"1503","1084388"
"1504","1893793"
"1506","75621"
"1507","324661"
"1512","196239"
"1513","710692"
"1514","303744"
"1515","363939"
"1516","79"
"1517","190302"
"1519","522092"
"1521","318135"
"1522","701225"
"1524","247904"
"1525","85478"
"1526","42219"
"1527","231937"
"1528","273242"
"1529","7371"
"1530","194606"
"1531","290232"
"1533","134773"
"1535","596464"
"1536","199825"
"1537","322804"
"1538","82225"
"1539","113464"
"1540","61233"
"1541","137180"
"1560","304398"
"1583","156506"
"2049","785023"
"2231","90878"
"4526","743739"
"4532","362510"
"6605","747427"
"8374","134003"
"1603","155947"
"1604","603168"
"1605","6961454"
"1608","713188"
"1609","900792"
"1611","530450"
"1612","498513"
"1613","521041"
"1614","527163"
"1615","341741"
"1616","342327"
"1617","424193"
"1618","446151"
"4930","69124"
"1704","1886727"
"1708","218039"
"1709","910341"
"1710","893599"
"1711","469227"
"1712","590836"
"1713","40651"
"1714","943690"
"1717","1548649"
"1718","1063388"
"1721","140642"
"1722","1206962"
"1723","754437"
"1724","188474"
