"V1","V2"
"1101","8071192"
"1102","5806573"
"1103","177734"
"1104","403016"
"1108","267312"
"1109","521034"
"1110","232565"
"1201","1685062"
"1203","543886"
"1210","7052418"
"1213","61395"
"1215","1700740"
"1216","35792013"
"1217","456849"
"1218","702927"
"1219","905236"
"1220","196312"
"1225","884524"
"1227","3096087"
"1229","404314"
"1231","566665"
"1232","1411977"
"1233","186498"
"1234","805520"
"1235","25839"
"1236","233746"
"1702","1744264"
"1737","264766"
"1301","17594800"
"1303","26587765"
"1304","5279293"
"1305","1184397"
"1307","896942"
"1308","585591"
"1309","2007684"
"1310","1321553"
"1312","2064839"
"1313","4657393"
"1314","2368886"
"1315","215116"
"1319","2005463"
"1321","417033"
"1323","300731"
"1324","107845"
"1325","74969"
"1326","29617886"
"1339","241299"
"4306","1719629"
"1402","19051418"
"1409","3309765"
"1410","43789"
"1413","228963"
"1414","43260"
"1416","30358"
"1417","124841"
"1418","109209"
"1419","133261"
"1423","49491"
"1434","3340026"
"1439","17821"
"1440","1791643"
"1441","143939"
"1443","102371"
"1444","1018848"
"1445","130604"
"1446","51619"
"1447","1399184"
"1449","225548"
"1451","774417"
"1452","142839"
"1453","1139"
"1454","151414"
"1455","1262067"
"1456","50775"
"1457","412032"
"1459","284838"
"1460","819652"
"1463","118935"
"1464","700371"
"1465","159731"
"1466","325808"
"1467","734282"
"1468","42681"
"1470","61865"
"1472","71079"
"1473","770190"
"1474","300176"
"1475","9986"
"1476","2083256"
"1477","2550600"
"4414","1340888"
"4426","150951"
"4438","1988708"
"1503","1920479"
"1504","4385380"
"1506","107568"
"1507","1339893"
"1512","168005"
"1513","828999"
"1514","401396"
"1515","667762"
"1517","235827"
"1519","443900"
"1521","541028"
"1522","1285160"
"1524","210911"
"1525","81466"
"1526","132940"
"1527","286585"
"1528","399825"
"1529","49797"
"1530","377903"
"1531","181210"
"1532","1227688"
"1533","205279"
"1535","951803"
"1536","588156"
"1537","674950"
"1538","43271"
"1539","270982"
"1540","44324"
"1541","340597"
"1558","433809"
