"V1","V2"
"1101","2091998"
"1102","1138840"
"1103","111881"
"1104","342114"
"1108","302759"
"1109","155201"
"1110","136957"
"1201","1244891"
"1203","162441"
"1210","2054665"
"1213","40941"
"1215","1255365"
"1216","3864868"
"1217","332610"
"1218","631005"
"1219","872715"
"1220","238848"
"1225","911524"
"1227","905890"
"1229","345395"
"1231","377166"
"1232","1397046"
"1233","146229"
"1234","448658"
"1235","29974"
"1236","150016"
"1702","203698"
"1737","176673"
"1301","17695633"
"1303","16662761"
"1304","1164931"
"1305","744747"
"1307","671310"
"1308","485097"
"1309","823849"
"1310","1142856"
"1312","1300235"
"1313","725245"
"1314","3795384"
"1315","198113"
"1319","1172392"
"1321","491910"
"1323","157619"
"1324","105757"
"1325","64894"
"1326","27922712"
"1339","105683"
"1715","515059"
"4306","593281"
"1402","5466636"
"1409","2499816"
"1410","28696"
"1413","461340"
"1414","140529"
"1416","31051"
"1417","161018"
"1418","284559"
"1419","92887"
"1423","127666"
"1432","1535"
"1434","3299759"
"1439","67712"
"1440","1433859"
"1441","143682"
"1443","77907"
"1444","1205082"
"1445","202707"
"1446","27671"
"1447","1929129"
"1449","194156"
"1451","930595"
"1452","199434"
"1453","41856"
"1454","205050"
"1455","1604419"
"1456","221604"
"1457","455736"
"1459","294532"
"1460","620541"
"1463","40124"
"1464","197658"
"1465","131762"
"1466","448916"
"1467","329811"
"1468","68580"
"1469","59571"
"1470","71525"
"1472","43050"
"1473","825031"
"1474","238647"
"1475","14074"
"1476","1074133"
"1477","1319052"
"4414","147889"
"4426","84273"
"1503","1237381"
"1504","2343469"
"1506","94531"
"1507","359792"
"1512","219764"
"1513","702108"
"1514","326753"
"1515","299965"
"1517","188510"
"1519","185745"
"1521","355839"
"1522","804265"
"1524","239764"
"1525","139256"
"1526","52714"
"1527","226766"
"1528","292956"
"1529","8270"
"1530","372892"
"1531","201086"
"1533","119140"
"1535","862817"
"1536","292070"
"1537","379513"
"1538","67165"
"1539","141384"
"1540","120422"
"1541","148630"
"1558","337712"
"1560","308361"
"1568","114164"
"1583","307163"
"2049","831423"
"2228","132875"
"2231","97799"
"2371","2979493"
"3167","144201"
"4526","465515"
"4532","646209"
"6605","925971"
"8222","79589"
"8374","113302"
"8996","145841"
"1603","289908"
"1604","1055020"
"1605","6643126"
"1608","1205300"
"1609","1011815"
"1611","578998"
"1612","645150"
"1613","609730"
"1614","810183"
"1615","329041"
"1616","316971"
"1617","389949"
"1618","191001"
"4930","60052"
"1316","38875"
"1704","2501450"
"1708","282608"
"1709","1139762"
"1710","1357126"
"1711","604347"
"1712","771236"
"1713","61314"
"1714","1375990"
"1717","1542225"
"1718","1635533"
"1721","157403"
"1722","1610918"
"1723","809040"
"1724","209962"
"1725","887056"
"1726","506944"
"1727","187017"
"1730","89098"
"1732","55207"
"1735","226948"
"1773","571885"
"4720","177670"
"4722","406959"
"4725","2091791"
"4733","175967"
"1701","262201"
"1707","241029"
"1720","197380"
"1729","118900"
"1731","170867"
"1733","203790"
"1734","144025"
"1736","709931"
"1762","155716"
"1783","19194"
"1786","12863"
"1789","468773"
"3164","10113"
"3705","40335"
"4104","257074"
"4106","140420"
"4108","14630"
"4119","106015"
"4133","40706"
"4142","17579"
"4164","52805"
"4737","109526"
"4746","261684"
"1802","1232716"
"1806","294366"
"1809","166773"
"1810","273541"
"1817","81037"
"1902","399548"
"1903","188883"
"1904","2360421"
"1905","565478"
"1906","37013"
"1907","1516739"
"1909","573047"
"1532","427888"
"2002","20093004"
"2006","3536845"
"2007","777242"
"2008","325655"
