"V1","V2"
"1101","9394240"
"1102","7905737"
"1103","177060"
"1104","479518"
"1108","353189"
"1109","668892"
"1110","186293"
"1201","1583493"
"1203","544108"
"1210","7176513"
"1213","63426"
"1215","1885469"
"1216","41144409"
"1217","379511"
"1218","706484"
"1219","1199814"
"1220","261737"
"1225","964100"
"1227","4362134"
"1229","493179"
"1231","913458"
"1232","1620137"
"1233","226345"
"1234","989413"
"1235","1752"
"1236","326947"
"1702","1718531"
"1737","274611"
"1301","19500909"
"1303","24994873"
"1304","5004581"
"1305","1193236"
"1307","910675"
"1308","620182"
"1309","1746564"
"1310","1117957"
"1312","1904635"
"1313","5939881"
"1314","2567786"
"1315","192157"
"1319","1921791"
"1321","435535"
"1323","307775"
"1324","99191"
"1325","81517"
"1326","31787788"
"1339","247724"
"4306","1500134"
"1402","21454753"
"1409","3471998"
"1410","37375"
"1413","330573"
"1414","67103"
"1416","18583"
"1417","157899"
"1418","11785"
"1419","125881"
"1423","42073"
"1434","3887745"
"1439","22506"
"1440","2034326"
"1441","138322"
"1443","80328"
"1444","1185284"
"1445","164017"
"1446","36057"
"1447","1262287"
"1449","200961"
"1451","841714"
"1452","205151"
"1453","125"
"1454","170512"
"1455","1331476"
"1456","59570"
"1457","522335"
"1459","332149"
"1460","843264"
"1463","71333"
"1464","761248"
"1465","101708"
"1466","383622"
"1467","616427"
"1468","102870"
"1470","62082"
"1472","19548"
"1473","746584"
"1474","309742"
"1475","5920"
"1476","2415301"
"1477","2143944"
"4414","1082296"
"4426","257523"
"4438","893414"
"1503","2653863"
"1504","3969809"
"1506","93504"
"1507","1121406"
"1512","125210"
"1513","1074295"
"1514","332758"
"1515","1021525"
"1517","305412"
"1519","237388"
"1521","413134"
"1522","1588233"
"1524","231829"
"1525","99329"
"1526","90001"
"1527","371214"
"1528","339618"
"1529","30040"
"1530","321784"
"1531","230758"
"1532","1203550"
"1533","251189"
"1535","1005894"
"1536","559963"
"1537","744711"
"1538","30485"
"1539","286948"
"1540","50830"
"1541","347031"
"1558","411722"
"1560","441889"
"1568","156877"
"1583","558549"
"1587","117220"
"2049","1667522"
"2228","388825"
"2231","360019"
"2371","3062480"
"3167","192327"
"3346","323915"
"4526","821410"
"4532","1842090"
"4540","154436"
"4551","412156"
"4555","125660"
"4562","92917"
"4564","277282"
"4566","349406"
"6605","1511501"
"8222","70242"
"8374","266110"
