"V1","V2"
"1101","2060498"
"1102","1052648"
"1103","111834"
"1104","284074"
"1108","294520"
"1109","146976"
"1110","142873"
"1201","1394392"
"1203","158154"
"1210","1946071"
"1213","90739"
"1215","1179593"
"1216","4654775"
"1217","375101"
"1218","817861"
"1219","1003085"
"1220","339992"
"1225","977447"
"1227","985529"
"1229","328855"
"1231","523088"
"1232","1714501"
"1233","159894"
"1234","634284"
"1235","24935"
"1236","155381"
"1702","189715"
"1737","175357"
"1301","14540823"
"1303","14749799"
"1304","917800"
"1305","668619"
"1307","591749"
"1308","546229"
"1309","917795"
"1310","1311086"
"1312","1581323"
"1313","662968"
"1314","3260415"
"1315","227655"
"1319","1110921"
"1321","420804"
"1323","142945"
"1324","107310"
"1325","69680"
"1326","20003025"
"1339","83402"
"1715","393119"
"4306","588068"
"1402","5226926"
"1409","2422814"
"1410","30126"
"1413","290606"
"1414","119347"
"1416","9695"
"1417","217396"
"1418","111757"
"1419","53246"
"1423","77478"
"1432","2399"
"1434","2802157"
"1439","69465"
"1440","1170943"
"1441","127104"
"1443","93366"
"1444","1060633"
"1445","177943"
"1446","28785"
"1447","2312160"
"1449","135255"
"1451","986252"
"1452","162254"
"1453","26602"
"1454","213661"
"1455","1494857"
"1456","142813"
"1457","345503"
"1459","247504"
"1460","358115"
"1463","39066"
"1464","124878"
"1465","123155"
"1466","420673"
"1467","399662"
"1468","30383"
"1469","62027"
"1470","44884"
"1472","69635"
"1473","1003437"
"1474","267997"
"1475","21655"
"1476","1353497"
"1477","1351398"
"4414","331543"
"4426","93759"
"1503","1341297"
"1504","2280451"
"1506","81643"
"1507","319525"
"1512","183829"
"1513","513417"
"1514","423328"
"1515","227649"
"1517","216479"
"1519","404415"
"1521","333080"
"1522","703075"
"1524","201355"
"1525","142745"
"1526","50698"
"1527","199121"
"1528","224248"
"1529","6291"
"1530","274717"
"1531","182533"
"1533","87896"
"1535","715915"
"1536","277662"
"1537","450601"
"1538","64354"
"1539","124438"
"1540","105513"
"1541","114856"
"1558","483938"
"1560","327052"
"1568","116405"
"1583","208723"
"2049","1021862"
"2228","159260"
"2231","105626"
"2371","2776444"
"3167","150077"
"4526","403248"
"4532","549390"
"6605","736902"
"8222","65900"
"8374","125701"
"8996","124249"
"1603","196972"
"1604","1165330"
"1605","5758618"
"1608","1041335"
"1609","719366"
"1611","602469"
"1612","406174"
"1613","523769"
"1614","904104"
"1615","271007"
"1616","298604"
"1617","341384"
"1618","341469"
"4930","174716"
"1316","18893"
"1704","2989678"
"1708","246438"
"1709","1009675"
"1710","944711"
"1711","476287"
"1712","606515"
"1713","45172"
"1714","674867"
"1717","1519909"
"1718","1006796"
"1721","136249"
"1722","1432849"
"1723","651619"
"1724","242905"
"1725","739617"
"1726","525871"
"1727","192679"
"1730","93486"
"1732","55808"
"1735","160406"
"1773","553144"
"4720","128708"
"4722","342887"
"4725","2043128"
"4733","175311"
"1701","209027"
"1707","235727"
"1720","164471"
"1729","146995"
"1731","178792"
"1733","160030"
"1734","172702"
"1736","728466"
"1762","120419"
"1783","19843"
"1786","17460"
"1789","450523"
"3164","10218"
"3705","29078"
"4104","257224"
"4106","115299"
"4108","15256"
"4119","103920"
"4133","40465"
"4142","5172"
"4164","9309"
"4737","106277"
"4746","202633"
"1802","1001137"
"1806","285611"
"1809","145406"
"1810","412425"
"1817","86962"
"1902","380996"
"1903","196405"
"1904","2110278"
"1905","464486"
"1906","38560"
"1907","1398195"
"1909","573277"
"1532","396670"
"2002","18112588"
"2006","3263535"
"2007","722479"
"2008","68970"
"2009","437790"
"2010","1486258"
"2012","341994"
"2013","1136688"
"2014","3161982"
"2015","2915022"
"2017","413590"
"2020","394419"
"2022","200910"
"2023","2172679"
"2024","139628"
"2025","202145"
"2027","868130"
"2028","662259"
"2029","1268166"
"2030","996221"
"2031","623109"
"2032","387934"
"2033","82328"
