"V1","V2"
"1101","11561838"
"1102","6735805"
"1103","385738"
"1104","499672"
"1108","457432"
"1109","493364"
"1110","178352"
"1201","2448508"
"1203","467621"
"1210","7860482"
"1213","43192"
"1215","1428903"
"1216","34615169"
"1217","298616"
"1218","736942"
"1219","936262"
"1220","246780"
"1225","1066108"
"1227","1477143"
"1229","460027"
"1231","395271"
"1232","1870764"
"1233","159463"
"1234","418908"
"1235","14740"
"1236","160036"
"1702","1192849"
"1737","202987"
"1301","19726924"
"1303","27575900"
"1304","5535730"
"1305","1386752"
"1307","1085995"
"1308","537581"
"1309","2023689"
"1310","1761426"
"1312","1953724"
"1313","4931291"
"1314","2665503"
"1315","188729"
"1319","1814574"
"1321","513657"
"1323","281036"
"1324","118142"
"1325","101003"
"1326","36806934"
"1339","148174"
"4306","1700429"
"1402","18946158"
"1409","3734650"
"1410","55925"
"1413","290825"
"1414","102008"
"1416","15778"
"1417","234264"
"1418","140738"
"1419","88510"
"1423","65637"
"1434","4390204"
"1439","34342"
"1440","1795391"
"1441","112829"
"1443","175828"
"1444","1020412"
"1445","172193"
"1446","61515"
"1447","2102664"
"1449","295431"
"1451","1099880"
"1452","175502"
"1453","12889"
"1454","204703"
"1455","1698672"
"1456","88650"
"1457","422207"
"1459","348700"
"1460","727025"
"1463","95421"
"1464","439220"
"1465","252736"
"1466","409425"
"1467","698968"
"1468","75003"
"1470","77912"
"1472","75946"
"1473","666723"
"1474","290413"
"1475","14941"
"1476","1544009"
"1477","1447240"
"4414","198126"
"4426","118902"
"4438","269562"
"1503","1749575"
"1504","4519925"
"1506","129246"
"1507","1772957"
"1512","317472"
"1513","729336"
"1514","277904"
"1515","317324"
"1517","311867"
"1519","312196"
"1521","376710"
"1522","1609201"
"1524","216868"
"1525","85216"
"1526","66678"
"1527","276418"
"1528","343365"
"1529","6846"
"1530","280840"
"1531","265211"
"1532","1435665"
"1533","210742"
"1535","827439"
"1536","351197"
"1537","572604"
"1538","74864"
"1539","278363"
"1540","82580"
"1541","242486"
"1558","469101"
"1560","378265"
"1568","199316"
"1583","523449"
"1587","122847"
"2049","1130021"
"2228","278789"
"2231","171009"
"2371","8243326"
"3167","167026"
"3346","140356"
"4526","718114"
"4532","1726418"
"4551","239014"
"6605","1283603"
"8222","76666"
"8374","431411"
"8996","214420"
"1603","308068"
"1604","884056"
"1605","14032239"
"1608","882270"
"1609","1409116"
"1611","233770"
"1612","295126"
"1614","419850"
"1615","202167"
"1616","323629"
"1617","310633"
"1618","143120"
"4930","1116214"
"1316","82902"
"1708","346268"
"1709","936372"
"1710","1272889"
"1711","991881"
"1712","1547182"
"1713","60634"
"1714","5390206"
"1717","3620868"
"1718","2967442"
"1721","131547"
"1722","1212744"
"1723","884649"
"1724","104817"
"1725","916144"
"1726","739000"
"1727","192043"
"1730","115292"
"1732","46112"
"1735","457853"
"1773","596746"
"1776","213580"
"4720","193662"
"4722","445320"
"4725","2397291"
"4739","237674"
"4755","312498"
"1598","351430"
"1701","457576"
"1707","535985"
"1720","274238"
"1731","94081"
"1733","127486"
"1734","229903"
"1736","1170294"
"1760","70864"
"1762","95643"
"1783","25929"
"1786","10303"
"1789","408670"
"3164","50489"
"3705","470970"
"4104","488998"
"4106","191630"
"4108","9242"
"4119","143603"
"4133","35419"
"4142","19680"
"4155","50576"
"4164","113518"
"4737","108193"
"4746","283036"
"1802","3467175"
"1806","629581"
"1809","335685"
"1810","676640"
"1817","163830"
"1902","545045"
"1903","157017"
"1904","3729463"
"1905","1760158"
"1906","45544"
"1907","4968356"
"1909","2315840"
"2002","30762063"
"2006","3256038"
"2007","493502"
"2008","116895"
"2009","347862"
"2010","1820914"
"2012","781032"
"2013","1651761"
"2014","2616725"
"2015","2690409"
"2017","490552"
"2020","456986"
"2022","896362"
"2023","4793844"
"2024","154958"
"2025","459971"
"2027","4483290"
"2028","932468"
"2029","1264845"
"2030","1202179"
"2031","817621"
"2032","304701"
"2033","65708"
"2034","2281751"
"2038","1027102"
"3004","104549"
"5007","613622"
"9958","280635"
"2101","1308228"
"2102","715166"
"2103","2584269"
"2104","1978305"
"2105","10824437"
"2106","3148787"
"2107","719464"
"2108","739238"
"2109","499366"
"2114","175182"
"2201","9192136"
"2204","3194630"
"2206","3324986"
"2207","13523817"
"2227","3373713"
