"V1","V2"
"1101","7866517"
"1102","5339750"
"1103","342029"
"1104","421157"
"1108","391241"
"1109","394265"
"1110","138201"
"1201","1635617"
"1203","535793"
"1210","6019684"
"1213","46454"
"1215","1471665"
"1216","35180192"
"1217","324102"
"1218","694823"
"1219","877293"
"1220","275259"
"1225","887891"
"1227","1721994"
"1229","452984"
"1231","486314"
"1232","1427668"
"1233","172892"
"1234","737073"
"1235","9950"
"1236","113256"
"1702","1387065"
"1737","258687"
"1301","14891679"
"1303","23324617"
"1304","4302748"
"1305","1116532"
"1307","800353"
"1308","371912"
"1309","1363811"
"1310","1067961"
"1312","1420232"
"1313","3203533"
"1314","2024654"
"1315","170743"
"1319","2043873"
"1321","356089"
"1323","275585"
"1324","122206"
"1325","95752"
"1326","27122513"
"1339","187449"
"4306","1522857"
"1402","18227706"
"1409","2784383"
"1410","55335"
"1413","190149"
"1414","90080"
"1416","609508"
"1417","229310"
"1418","84473"
"1419","110773"
"1423","62328"
"1434","3449394"
"1439","29551"
"1440","1629072"
"1441","140899"
"1443","91316"
"1444","836679"
"1445","144931"
"1446","48279"
"1447","1119019"
"1449","269417"
"1451","1325458"
"1452","158431"
"1453","5957"
"1454","164294"
"1455","1072287"
"1456","38779"
"1457","410136"
"1459","221701"
"1460","707436"
"1463","46994"
"1464","584511"
"1465","132021"
"1466","322720"
"1467","524465"
"1468","46268"
"1470","51491"
"1472","50527"
"1473","555068"
"1474","257527"
"1475","19282"
"1476","1847151"
"1477","1425521"
"4414","268074"
"4426","170334"
"4438","741876"
"1503","1728761"
"1504","4212825"
"1506","136034"
"1507","1685019"
"1512","301029"
"1513","1040907"
"1514","278785"
"1515","335370"
"1517","248091"
"1519","397684"
"1521","473598"
"1522","1308893"
"1524","213920"
"1525","112588"
"1526","83160"
"1527","386912"
"1528","260161"
"1529","29159"
"1530","328529"
"1531","189423"
"1532","1133120"
"1533","193389"
"1535","562934"
"1536","511596"
"1537","571688"
"1538","62571"
"1539","260572"
"1540","46734"
"1541","245198"
"1558","543489"
"1560","353048"
"1568","214738"
"1583","586626"
"1587","144844"
"2049","1482095"
"2228","364081"
"2231","281457"
"2371","6589408"
"3167","170097"
"3346","353017"
"4526","893953"
"4532","1721729"
"4540","139191"
"4551","294601"
"4555","133666"
"4562","121774"
"6605","1327519"
"8222","74701"
"8374","316178"
"8996","242020"
"1603","299534"
"1604","1077117"
"1605","12092319"
"1608","504077"
"1609","1149225"
"1611","215786"
"1612","256240"
"1614","535315"
"1615","161044"
"1616","251105"
"1617","213092"
"1618","193362"
"4930","872790"
"1316","51188"
"1708","333550"
"1709","865249"
"1710","1053287"
"1711","824152"
"1712","1371014"
"1713","53484"
"1714","2503028"
"1717","3375459"
"1718","2936239"
"1721","328075"
"1722","1080660"
"1723","426617"
"1724","187724"
"1725","719716"
"1726","702695"
"1727","169609"
"1730","160526"
"1732","43559"
"1735","251209"
"1773","517307"
"1776","150275"
"4720","218319"
"4722","411027"
"4725","757975"
"4739","345542"
"4755","359313"
"1598","294420"
"1701","495216"
"1707","799512"
"1720","303836"
"1731","112976"
"1733","166306"
"1734","162258"
"1736","1478347"
"1760","100706"
"1762","96939"
"1783","27862"
"1786","19244"
"1789","316974"
"3164","54864"
"3705","560092"
"4104","528630"
"4106","172006"
"4108","2059"
"4119","172889"
"4133","37727"
"4142","59203"
"4155","81541"
"4164","183510"
"4737","153663"
"4746","301995"
"1802","3669059"
"1806","498379"
"1809","243694"
"1810","471820"
"1817","182430"
"1902","376091"
"1903","6423"
"1904","3198140"
"1905","1890961"
"1906","110193"
"1907","5352303"
"1909","2789414"
"2002","24478925"
"2006","2689765"
"2007","609682"
"2008","86923"
"2009","141419"
"2010","1620051"
"2012","783752"
"2013","1283997"
"2014","2803910"
"2015","1943459"
"2017","446939"
"2020","366817"
"2022","703361"
"2023","4413121"
"2024","131868"
"2025","262762"
"2027","4197593"
"2028","711920"
"2029","1046448"
"2030","882082"
"2031","545862"
"2032","222089"
"2033","71551"
"2034","1463239"
"2038","416825"
"2069","627237"
"3004","131475"
"5007","592656"
"9958","221010"
"2101","1060795"
"2102","482035"
"2103","2580269"
"2104","1308348"
"2105","10575761"
"2106","2659085"
"2107","133670"
"2108","846514"
"2109","538004"
"2114","131312"
"6582","231649"
"2201","9181155"
"2204","3693756"
"2206","3083356"
"2207","13557331"
"2227","3247460"
"2302","52206"
"2303","12705227"
"2329","1388199"
"2330","73575784"
"2337","1739330"
"2338","104510"
"2342","120584"
"2344","3454832"
"2351","740111"
"2363","14405"
"2369","488453"
"2379","3325449"
"2388","370186"
"2401","668234"
"2408","2896748"
"2434","16599"
"2436","161606"
"2441","814668"
"2449","1713740"
"2451","1729785"
"2454","24636105"
"2458","517373"
"2481","1180755"
"3006","743184"
"3014","240827"
"3016","251652"
"3034","3872523"
"3035","560772"
"3041","251202"
"3054","5891"
"3094","27389"
"3189","1924030"
"3257","65352"
"3413","506814"
"3443","696418"
"3519","1727984"
"3530","139162"
"3532","917484"
"3536","80455"
"3545","971482"
"3579","1771157"
"3583","239000"
"3588","95177"
"3686","156166"
"4919","747451"
"4952","352296"
"4961","500293"
"4967","350402"
"4968","172698"
"5269","123117"
"5285","180380"
"5305","904563"
"5471","320261"
"6202","358738"
"6239","3799030"
"6243","47371"
"6257","465881"
"6271","706630"
"6531","180499"
"6533","10340"
"6552","136357"
"8016","791445"
"8028","141589"
"8081","297875"
"8110","683422"
"8131","708444"
"8150","1550159"
"8261","118862"
"8271","517510"
"2301","17436437"
"2305","63410"
"2324","56708205"
"2331","1984718"
"2352","10544259"
"2353","17329253"
"2356","34182975"
"2357","31854680"
"2362","1632710"
"2364","69631"
"2365","311427"
"2376","3293391"
"2377","7112532"
"2380","211204"
"2382","70047516"
"2387","1125248"
"2395","3521427"
"2397","338538"
"2399","217680"
"2405","387939"
"2417","215846"
"2424","137"
"2425","579746"
"2442","171751"
"2465","253648"
"3002","22875"
"3005","1537605"
"3013","392915"
"3017","2038537"
"3022","403958"
"3046","82049"
"3057","208081"
"3060","668009"
"3231","48134376"
"3416","113478"
"3494","134735"
"3515","512108"
"3701","1103684"
"3706","4604327"
"4916","242193"
"4938","66553746"
"5258","241783"
"6117","204268"
"6128","178985"
"6166","730065"
"6172","35571"
"6206","468313"
"6230","611327"
"6235","200950"
"6277","392792"
"6414","1180842"
"6579","524600"
"6669","2338399"
"8114","277145"
"8163","1515575"
"8210","515062"
"9912","63946"
"2323","1001371"
"2340","501454"
"2349","949806"
"2374","962749"
"2393","2311326"
"2406","1684238"
"2409","26794515"
"2426","261179"
"2438","31247"
"2448","2156711"
"2466","138004"
"2475","2426389"
"2486","425636"
"2489","2108336"
"2491","31615"
"2499","684158"
"3008","3362799"
"3019","1666691"
"3024","309880"
"3031","182935"
"3038","271248"
"3049","151460"
"3050","69142"
"3051","219726"
"3059","947856"
"3149","157017"
"3356","169224"
"3383","125333"
"3406","529386"
"3437","415434"
"3454","443644"
"3481","22504919"
"3504","340492"
"3535","101425"
"3557","44121"
"3563","57422"
"3576","1700503"
"3591","330179"
"3622","84475"
"3669","165094"
"3698","1183643"
"4934","962964"
"4942","507159"
"4956","118307"
"4960","861235"
"4976","110979"
"5234","300415"
"5259","20966"
"5484","123734"
"6116","1425587"
"6120","3021076"
"6131","9502"
"6164","163469"
"6168","242664"
"6176","2928877"
"6209","323635"
"6225","2848"
"6226","89494"
"6278","2164079"
"6288","209367"
"6289","15165"
"6405","82585"
"6443","641683"
"6477","132719"
"8105","947461"
