"V1","V2"
"1101","1974285"
"1102","1066478"
"1103","112508"
"1104","307905"
"1108","328224"
"1109","146031"
"1110","165428"
"1201","1209287"
"1203","169246"
"1210","2181625"
"1213","43002"
"1215","1410676"
"1216","3369274"
"1217","347473"
"1218","658477"
"1219","856767"
"1220","222632"
"1225","1067399"
"1227","1106338"
"1229","302980"
"1231","482881"
"1232","1428676"
"1233","178647"
"1234","517445"
"1235","20288"
"1236","286144"
"1702","210207"
"1737","191738"
"1301","13023396"
"1303","16397131"
"1304","799540"
"1305","641926"
"1307","483840"
"1308","391359"
"1309","838741"
"1310","818064"
"1312","1243261"
"1313","574034"
"1314","2896457"
"1315","193299"
"1319","1093230"
"1321","441688"
"1323","143339"
"1324","108602"
"1325","92129"
"1326","26775954"
"1339","110762"
"1715","384950"
"4306","416409"
"1402","4825561"
"1409","1732899"
"1410","24076"
"1413","353099"
"1414","104533"
"1416","14469"
"1417","218040"
"1418","165247"
"1419","60845"
"1423","68682"
"1432","456"
"1434","2559290"
"1439","52758"
"1440","1113258"
"1441","120433"
"1443","101430"
"1444","1001138"
"1445","146806"
"1446","27928"
"1447","2408260"
"1449","175900"
"1451","828737"
"1452","192100"
"1453","87528"
"1454","156121"
"1455","1413059"
"1456","137554"
"1457","366780"
"1459","298652"
"1460","460457"
"1463","42440"
"1464","181349"
"1465","137046"
"1466","435555"
"1467","327470"
"1468","32224"
"1469","38538"
"1470","60636"
"1472","67184"
"1473","642011"
"1474","264226"
"1475","12686"
"1476","908191"
"1477","795968"
"4414","283410"
"4426","92239"
"1503","1102333"
"1504","2064802"
"1506","77491"
"1507","432822"
"1512","183255"
"1513","1210086"
"1514","372506"
"1515","323600"
"1517","226036"
"1519","548303"
"1521","351641"
"1522","696792"
"1524","234385"
"1525","86702"
"1526","57216"
"1527","202667"
"1528","125558"
"1529","8027"
"1530","246093"
"1531","144038"
"1533","123432"
"1535","1093488"
"1536","312687"
"1537","419783"
"1538","58531"
"1539","130868"
"1540","43789"
"1541","52186"
"1558","280431"
"1560","318336"
"1568","121183"
"1583","245103"
"2049","756708"
"2228","113337"
"2231","108601"
"2371","3012512"
"3167","118372"
"4526","301117"
"4532","467726"
"6605","940185"
"8222","55411"
"8374","91337"
"8996","168257"
"1603","214105"
"1604","959323"
"1605","4929024"
"1608","720579"
"1609","857507"
"1611","554059"
"1612","366362"
"1613","418656"
"1614","355717"
"1615","332349"
"1616","204018"
"1617","266698"
"1618","197830"
"4930","113723"
"1316","18402"
"1704","2666702"
"1708","251801"
"1709","412760"
"1710","897953"
"1711","421189"
"1712","685927"
"1713","58722"
"1714","1265124"
"1717","1291129"
"1718","1586361"
"1721","128630"
"1722","2263803"
"1723","603975"
"1724","142576"
"1725","717963"
"1726","584271"
"1727","170145"
"1730","118763"
"1732","62691"
"1735","146677"
"1773","490731"
"4720","98836"
"4722","296689"
"4725","2031382"
"4733","96324"
"4755","236228"
"1701","235792"
"1707","265194"
"1720","200642"
"1729","60821"
"1731","164454"
"1733","157958"
"1734","149170"
"1736","801208"
"1762","56430"
"1783","14049"
"1786","29106"
"1789","524897"
"3164","18751"
"3705","38845"
"4104","259987"
"4106","127327"
"4108","16201"
"4119","75075"
"4133","35525"
"4142","37077"
"4164","111517"
"4737","108496"
"4746","142298"
"1802","1055337"
"1806","317733"
"1809","168044"
"1810","314848"
"1817","92321"
"1902","349421"
"1903","168870"
"1904","1997227"
"1905","1453632"
"1906","43564"
"1907","104760"
"1909","518011"
"1532","340593"
"2002","15239509"
"2006","2943712"
"2007","576920"
"2008","127390"
"2009","285605"
"2010","1225761"
"2012","300588"
"2013","1878471"
"2014","4004547"
"2015","2750892"
"2017","479866"
"2020","435516"
"2022","298271"
"2023","2293568"
"2024","138357"
"2025","246189"
"2027","822904"
"2028","1014216"
"2029","1074659"
"2030","848845"
"2031","703186"
"2032","367372"
"2033","79519"
"2034","1773409"
"2038","1009791"
"3004","197228"
"5007","380294"
"9958","421821"
"2101","365410"
"2102","344088"
"2103","1277287"
"2104","344220"
"2105","2035276"
"2106","518914"
"2107","222661"
"2108","433646"
"2109","208549"
"2114","196652"
"2201","2247610"
"2204","1916492"
"2206","1639218"
"2207","4815631"
"2227","1871212"
"1437","52271"
"2302","19156"
"2303","7796821"
"2311","5885953"
"2325","4179939"
"2329","743310"
"2330","36558773"
"2337","1444156"
"2338","132473"
"2342","111401"
"2344","1845351"
"2351","485566"
"2363","38737"
"2369","425307"
"2379","1906442"
"2388","271600"
"2401","232058"
"2408","2113573"
"2434","53019"
"2436","133997"
"2441","631574"
"2449","1021476"
"2451","1725460"
"2454","4888001"
"2458","523809"
"2481","368341"
"3006","406918"
"3014","271537"
"3016","62658"
"3034","3334293"
"3035","540014"
"3041","372952"
"3054","138327"
"3094","30899"
